HUB,Hub Name,Rebuilt Articles,Net-New Proposed,Total Planned,Priority,Primary Product CTA,Coverage Verdict
HUB-01,Tổng đài và Call Center,42,0,42,P0,Cloud Call Center|/lien-he/ ; Gcalls Plus Webphone|/gcalls-plus-webphone/,ADEQUATE
HUB-02,Gcalls Plus Webphone,1,1,2,P0,Gcalls Plus Webphone|/gcalls-plus-webphone/,THIN — net-new required
HUB-03,"CRM, Helpdesk và tích hợp",15,2,17,P0,Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/ ; Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,ADEQUATE
HUB-04,Telesales và Sales Operations,77,0,77,P1,Gcalls Plus Webphone|/gcalls-plus-webphone/ ; Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/,ADEQUATE
HUB-05,Customer Service và Customer Experience,34,0,34,P1,Gcalls CX|/gcalls-cx/ ; Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,ADEQUATE
HUB-06,Gcalls CX,0,2,2,P0,Gcalls CX|/gcalls-cx/,NO LEGACY CONTENT — net-new only
HUB-07,QA/QC và quản trị chất lượng,3,2,5,P0,QA/QC Center|/qc-bot-ai/,THIN — net-new required
HUB-08,"Voicebot, AI và tự động hóa",3,2,5,P0,Giải pháp tích hợp Voicebot AI|/voicebot-ai/ ; QA/QC Center|/qc-bot-ai/,THIN — net-new required
HUB-09,Tổng đài quốc tế,1,3,4,P0,Tổng đài quốc tế|/tong-dai-quoc-te/,THIN — net-new required
HUB-10,Cloud Call Center và làm việc từ xa,2,0,2,P1,Cloud Call Center|/lien-he/ ; Gcalls Plus Webphone|/gcalls-plus-webphone/,THIN — net-new required
HUB-11,Vận hành doanh nghiệp,49,0,49,P2,Gcalls Plus Webphone|/gcalls-plus-webphone/,ADEQUATE
HUB-12,Hướng dẫn sử dụng Gcalls,0,1,1,P2,Gcalls Plus Webphone|/gcalls-plus-webphone/,NO LEGACY CONTENT — net-new only
HUB-13,Case study,0,0,0,P3,,NO LEGACY CONTENT — net-new only
TOTAL,,227,13,240,,,
