ID,Source,Legacy Post ID,New Title,Final Slug,Final URL,HUB,Topic Cluster,Primary Keyword,Secondary Keywords,Search Intent,Persona,Funnel Stage,Pillar/Supporting,Target Word Count,Product CTA,Image Type,Image Status,Claim Guard,Replaces,Draft Status
GC-B01-01,LEGACY_RESCOPE,566,Dịch vụ Call Center là gì và doanh nghiệp nào thực sự cần,5-linh-vuc-rat-can-dich-vu-call-center-trung-tam-cuoc-goi,/5-linh-vuc-rat-can-dich-vu-call-center-trung-tam-cuoc-goi/,HUB-01 Tổng đài và Call Center,Nền tảng call center,dịch vụ call center là gì,trung tâm cuộc gọi | call center cho doanh nghiệp | tổng đài chăm sóc khách hàng,informational-definition,Trưởng phòng vận hành / Call Center Manager,TOFU,PILLAR,2000-3000,Cloud Call Center|/lien-he/ ; Gcalls Plus Webphone|/gcalls-plus-webphone/,Sơ đồ thiết kế mới,CUSTOM_DIAGRAM_REQUIRED,"Không nêu %, SLA, thời gian triển khai; mọi yêu cầu ghi âm nêu là phụ thuộc quy định",2621,DRAFT_WRITTEN
GC-B01-02,LEGACY_RESCOPE,2768,Call Center On-Premises và Cloud khác nhau ở đâu,call-center-diem-khac-biet-giua-on-premises-va-cloud-call-center-phan-1,/call-center-diem-khac-biet-giua-on-premises-va-cloud-call-center-phan-1/,HUB-01 Tổng đài và Call Center,Nền tảng call center,on-premises và cloud call center,tổng đài đám mây | tổng đài truyền thống | chi phí đầu tư tổng đài,commercial-investigation,IT Manager / Trưởng dự án hạ tầng,MOFU,PILLAR,2000-3000,Cloud Call Center|/lien-he/ ; Công cụ ước tính chi phí|/uoc-tinh-chi-phi/,Sơ đồ thiết kế mới,CUSTOM_DIAGRAM_REQUIRED,"Không nêu con số giá; chi phí trình bày dưới dạng hạng mục, không dưới dạng số liệu",2437,DRAFT_WRITTEN
GC-B01-03,LEGACY_RESCOPE,647,Khi nào doanh nghiệp nên chuyển sang tổng đài ảo,4-ly-do-su-dung-tong-dai-ao-call-center-la-can-thiet-voi-mot-doanh-nghiep,/4-ly-do-su-dung-tong-dai-ao-call-center-la-can-thiet-voi-mot-doanh-nghiep/,HUB-01 Tổng đài và Call Center,Thời điểm chuyển đổi,khi nào nên chuyển sang tổng đài ảo,tổng đài ảo | dấu hiệu cần đổi tổng đài | chuyển đổi hệ thống nghe gọi,commercial-investigation,Chủ doanh nghiệp / Giám đốc điều hành SME,MOFU,SUPPORTING,1200-2000,Cloud Call Center|/lien-he/ ; Công cụ ước tính chi phí|/uoc-tinh-chi-phi/,Sơ đồ thiết kế mới,CUSTOM_DIAGRAM_REQUIRED,"Không nêu %, không cam kết thời gian chuyển đổi; giữ số/hotline nêu là phụ thuộc nhà mạng",2850,DRAFT_WRITTEN
GC-B01-04,NET_NEW,—,Tổng đài trên trình duyệt hoạt động thế nào trong một ngày làm việc,tong-dai-tren-trinh-duyet-hoat-dong-the-nao,/tong-dai-tren-trinh-duyet-hoat-dong-the-nao/,HUB-02 Gcalls Plus Webphone,Webphone và thao tác hằng ngày,tổng đài trên trình duyệt,webphone là gì | gọi điện trên trình duyệt | ghi chú sau cuộc gọi,informational-howto,Trưởng nhóm Sales có đội gọi ra,MOFU,PILLAR,2000-3000,Gcalls Plus Webphone|/gcalls-plus-webphone/ ; Liên hệ tư vấn|/lien-he/,"Ảnh chụp sản phẩm thật, đã che dữ liệu",PRODUCT_SCREENSHOT_REQUIRED,Không nêu năng suất tăng bao nhiêu; ảnh sản phẩm phải che dữ liệu khách hàng,2835,DRAFT_WRITTEN
GC-B01-05,LEGACY_RESCOPE,1368,Gọi ra theo danh sách: cách tổ chức và những giới hạn cần biết,phan-mem-goi-tu-dong-va-loi-ich-doi-voi-chien-luoc-ban-hang,/phan-mem-goi-tu-dong-va-loi-ich-doi-voi-chien-luoc-ban-hang/,HUB-02 Gcalls Plus Webphone,Chiến dịch gọi ra,gọi ra theo danh sách,danh sách gọi ra | phân bổ lead cho đội gọi | chiến dịch gọi ra,informational-howto,Trưởng nhóm Telesales,MOFU,SUPPORTING,1200-2000,Gcalls Plus Webphone|/gcalls-plus-webphone/ ; Liên hệ tư vấn|/lien-he/,"Ảnh chụp sản phẩm thật, đã che dữ liệu",PRODUCT_SCREENSHOT_REQUIRED,Không nêu tỷ lệ chuyển đổi; cơ sở pháp lý liên hệ khách hàng nêu là cần xác nhận riêng,—,DRAFT_WRITTEN
GC-B01-06,NET_NEW,—,Checklist đánh giá mức độ sẵn sàng tích hợp tổng đài với CRM,checklist-danh-gia-san-sang-tich-hop-tong-dai-voi-crm,/checklist-danh-gia-san-sang-tich-hop-tong-dai-voi-crm/,"HUB-03 CRM, Helpdesk và tích hợp",Tích hợp CRM,tích hợp tổng đài với CRM,checklist tích hợp CRM | chuẩn bị dữ liệu trước khi tích hợp | API của CRM,commercial-investigation,IT Manager / Trưởng dự án tích hợp,BOFU,PILLAR,2000-3000,Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/ ; Liên hệ tư vấn|/lien-he/,Sơ đồ thiết kế mới,CUSTOM_DIAGRAM_REQUIRED,Không cam kết thời gian tích hợp; phạm vi API nêu là phụ thuộc nền tảng và gói dịch vụ,2819,DRAFT_WRITTEN
GC-B01-07,LEGACY_RESCOPE,15743,Đồng bộ dữ liệu giữa tổng đài và CRM: phạm vi và giới hạn,dong-bo-hoa-du-lieu-la-gi-tai-sao-nen-dong-bo-du-lieu,/dong-bo-hoa-du-lieu-la-gi-tai-sao-nen-dong-bo-du-lieu/,"HUB-03 CRM, Helpdesk và tích hợp",Tích hợp CRM,đồng bộ dữ liệu tổng đài và CRM,đồng bộ một chiều | đồng bộ hai chiều | lịch sử cuộc gọi trong CRM,informational-definition,IT Manager / Trưởng dự án tích hợp,MOFU,SUPPORTING,1200-2000,Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/,Sơ đồ thiết kế mới,CUSTOM_DIAGRAM_REQUIRED,Không cam kết đồng bộ tức thời; độ trễ và hạn mức nêu là phụ thuộc nền tảng,—,DRAFT_WRITTEN
GC-B01-08,NET_NEW,—,Dữ liệu nào thực sự đồng bộ giữa tổng đài và Helpdesk,du-lieu-dong-bo-giua-tong-dai-va-helpdesk,/du-lieu-dong-bo-giua-tong-dai-va-helpdesk/,"HUB-03 CRM, Helpdesk và tích hợp",Tích hợp Helpdesk,đồng bộ dữ liệu tổng đài và helpdesk,cuộc gọi gắn với ticket | lịch sử hỗ trợ khách hàng | ticket từ cuộc gọi,informational-definition,Helpdesk Lead / Trưởng nhóm hỗ trợ khách hàng,MOFU,SUPPORTING,1200-2000,Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,Sơ đồ thiết kế mới,CUSTOM_DIAGRAM_REQUIRED,Không cam kết phạm vi đồng bộ cố định; lưu trữ bản ghi nêu là phụ thuộc quy định,2883,DRAFT_WRITTEN
GC-B01-09,NET_NEW,—,"Hợp nhất hội thoại hotline, Zalo OA và Facebook về một nơi",hop-nhat-hoi-thoai-hotline-zalo-oa-va-facebook,/hop-nhat-hoi-thoai-hotline-zalo-oa-va-facebook/,HUB-06 Gcalls CX,Vận hành đa kênh,hợp nhất hội thoại đa kênh,zalo oa cho doanh nghiệp | quản lý tin nhắn nhiều kênh | lịch sử khách hàng,informational-howto,Quản lý chăm sóc khách hàng,MOFU,PILLAR,2000-3000,Gcalls CX|/gcalls-cx/ ; Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,"Ảnh chụp sản phẩm thật, đã che dữ liệu",PRODUCT_SCREENSHOT_REQUIRED,"Không nêu %, không cam kết nhận diện khách hàng tự động qua mọi kênh",2864,DRAFT_WRITTEN
GC-B01-10,NET_NEW,—,Khi nào doanh nghiệp thực sự cần nền tảng đa kênh,khi-nao-doanh-nghiep-can-nen-tang-da-kenh,/khi-nao-doanh-nghiep-can-nen-tang-da-kenh/,HUB-06 Gcalls CX,Vận hành đa kênh,nền tảng đa kênh cho doanh nghiệp,omnichannel là gì | đa kênh và hợp kênh | chi phí nền tảng đa kênh,commercial-investigation,Giám đốc dịch vụ khách hàng,MOFU,SUPPORTING,1200-2000,Gcalls CX|/gcalls-cx/ ; Liên hệ tư vấn|/lien-he/,Minh hoạ biên tập gốc,EDITORIAL_ILLUSTRATION_REQUIRED,Không hứa mức cải thiện cụ thể; chi phí nêu là cần khảo sát riêng,2244,DRAFT_WRITTEN
