Legacy Post ID,New Title,HUB,Primary Keyword,Search Intent,Funnel Stage,Pillar/Supporting,Unique?,Priority
410,Nâng tầm giá trị thương hiệu của doanh nghiệp bạn với Voice Brandname,HUB-11,nâng tầm giá trị thương,transactional,TOFU,SUPPORTING,YES,P2
439,Góc nhìn của doanh nghiệp và khách hàng về tổng đài CSKH và bán hàng,HUB-05,góc nhìn khách hàng tổng,informational-general,TOFU,SUPPORTING,YES,P1
553,"Gcalls và bạn - đối tác giới thiệu khách hàng - Cùng hợp tác, cùng có lợi",HUB-03,gcalls đối tác giới thiệu,informational-general,MOFU,PILLAR,YES,P0
566,Dịch Vụ Call Center là gì? Dịch vụ Tổng đài Call Center,HUB-01,dịch vụ call center dịch,informational-definition,TOFU,PILLAR,YES,P1
588,"Tổng Đài Call Center Và Những Kiến Thức ""Cứu Sống"" Doanh Nghiệp",HUB-01,tổng đài call center kiến,informational-general,TOFU,PILLAR,YES,P1
603,10 Thống kê về hệ thống VoIP chứng minh tầm quan trọng của công nghệ,HUB-01,thống kê hệ thống voip,informational-general,TOFU,SUPPORTING,YES,P1
615,10 mẹo hay nhất để Telesales thành công,HUB-04,mẹo hay telesales thành công,informational-howto,TOFU,SUPPORTING,YES,P1
647,7 Lý Do Nên Chọn Tổng Đài Ảo Call Center Cho Doanh Nghiệp,HUB-01,lý do chọn tổng đài,informational-howto,TOFU,PILLAR,YES,P1
654,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần cuối),HUB-01,lợi ích việc sử dụng,informational-general,TOFU,SUPPORTING,COLLISION,P1
669,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần 1),HUB-01,lợi ích việc sử dụng,informational-general,TOFU,SUPPORTING,COLLISION,P1
676,Làm thế nào để mở rộng một nhóm bán hàng toàn cầu?,HUB-04,làm mở rộng nhóm bán,informational-general,TOFU,SUPPORTING,YES,P1
684,Goals (Mục đích) vs Objectives (Mục tiêu): phân biệt đơn giản,HUB-11,goals mục đích vs objectives,informational-general,TOFU,SUPPORTING,YES,P2
694,"Tại sao không ""tùy ý"" đưa ý kiến trong content marketing",HUB-11,tùy ý đưa ý kiến,informational-general,TOFU,SUPPORTING,YES,P2
826,Cách mạng Công nghiệp 4.0 và lợi ích đối với doanh nghiệp,HUB-11,mạng công lợi ích đối,informational-howto,TOFU,SUPPORTING,YES,P2
861,11 chỉ số đánh giá quan trọng đối với bộ phận Chăm Sóc Khách Hàng,HUB-05,chỉ số đánh giá quan,commercial-investigation,TOFU,PILLAR,YES,P1
872,Công nghệ đang thay đổi cách mọi người làm việc từ xa như thế nào?,HUB-10,công nghệ đang thay đổi,informational-howto,TOFU,PILLAR,YES,P1
884,Tiếp thị qua điện thoại: 13 mẹo chinh phục khách hàng,HUB-11,tiếp thị qua điện thoại,informational-howto,TOFU,SUPPORTING,COLLISION,P2
897,10 công nghệ mà bạn phải có để có thể xây dựng Team làm việc từ xa hiệu quả,HUB-10,công nghệ mà phải thể,informational-general,TOFU,SUPPORTING,YES,P1
1071,Cách tạo hồ sơ khách hàng lý tưởng cho nhóm khách hàng tiềm năng B2B,HUB-04,tạo hồ sơ khách hàng,informational-howto,TOFU,PILLAR,YES,P1
1082,TOP 10 phần mềm theo dõi bán hàng hàng đầu dành cho doanh nghiệp,HUB-04,mềm theo dõi bán hàng,commercial-investigation,TOFU,PILLAR,YES,P1
1102,5 chỉ số đo lường hiệu suất bán hàng quan trọng mà quản lý nên theo dõi,HUB-04,chỉ số đo lường hiệu,informational-general,TOFU,PILLAR,YES,P1
1113,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần 1),HUB-04,mẹo cold calling dành nhân,informational-howto,TOFU,PILLAR,COLLISION,P1
1134,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần cuối),HUB-04,mẹo cold calling dành nhân,informational-howto,TOFU,PILLAR,COLLISION,P1
1157,Phần Mềm Contact Center - Giải Pháp Tổng Đài Chuyên Nghiệp 2023,HUB-04,mềm contact center giải pháp,informational-general,TOFU,PILLAR,YES,P1
1187,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 1),HUB-04,bán hàng inbound hay outbound,informational-general,TOFU,PILLAR,COLLISION,P1
1198,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 2),HUB-04,bán hàng inbound hay outbound,informational-general,TOFU,PILLAR,COLLISION,P1
1219,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 3),HUB-04,bán hàng inbound hay outbound,informational-general,TOFU,SUPPORTING,COLLISION,P1
1231,Tương lai của tổng đài doanh nghiệp: 10 xu hướng nổi bật nhất,HUB-01,tương lai tổng đài xu,informational-general,TOFU,PILLAR,YES,P1
1296,Bí quyết telesales: Nên hay không sử dụng kịch bản cuộc gọi bán hàng?,HUB-04,bí quyết telesales hay sử,informational-general,TOFU,PILLAR,YES,P1
1314,Telesales: Cách tập trung khi gọi điện bán hàng,HUB-04,telesales tập trung gọi điện,informational-howto,TOFU,SUPPORTING,YES,P1
1324,Thế nào là telesales thành công và cách đánh giá cuộc gọi bán hàng?,HUB-04,telesales thành công đánh giá,informational-howto,TOFU,SUPPORTING,YES,P1
1351,6 cách nhắn tin cho khách hàng đạt hiệu quả trong quy trình bán hàng,HUB-04,nhắn tin khách hàng đạt,informational-howto,TOFU,PILLAR,YES,P1
1368,Phần mềm gọi tự động và lợi ích đối với chiến lược bán hàng,HUB-02,mềm gọi tự động lợi,informational-general,MOFU,PILLAR,YES,P0
1381,6 bước xây dựng kịch bản bán hàng đỉnh cao,HUB-04,bước xây dựng kịch bản,informational-howto,TOFU,PILLAR,YES,P1
1396,Cách gọi điện thoại cho khách hàng tiềm năng đã mở email,HUB-04,gọi điện thoại khách hàng,informational-howto,TOFU,PILLAR,YES,P1
1420,Cách giảm áp lực khi làm telesales,HUB-04,giảm áp lực làm telesales,informational-howto,TOFU,SUPPORTING,YES,P1
1427,Các chỉ số đánh giá phễu bán hàng hiệu quả,HUB-04,chỉ số đánh giá phễu,commercial-investigation,TOFU,SUPPORTING,YES,P1
1440,Tiếp thị qua điện thoại: Hướng dẫn nhanh Cold Calling chuyên nghiệp,HUB-04,tiếp thị qua điện thoại,informational-howto,TOFU,SUPPORTING,COLLISION,P1
1454,Hướng dẫn nhân viên bán hàng SaaS xử lý từ chối giao dịch (Phần 1),HUB-04,hướng dẫn nhân viên bán,informational-howto,TOFU,SUPPORTING,COLLISION,P1
1496,Hướng dẫn nhân viên bán hàng SaaS xử lý từ chối giao dịch (Phần cuối),HUB-04,hướng dẫn nhân viên bán,informational-howto,TOFU,SUPPORTING,COLLISION,P1
1529,Tiêu chí đánh giá hiệu quả bán hàng,HUB-04,tiêu chí đánh giá hiệu,commercial-investigation,TOFU,PILLAR,YES,P1
1541,Các bước tổ chức một cuộc họp khách hàng chuyên nghiệp,HUB-04,bước tổ chức cuộc họp,informational-general,TOFU,PILLAR,YES,P1
1560,Tiếp thị qua điện thoại: Kỹ năng xử lý từ chối giúp tăng cơ hội bán hàng,HUB-04,tiếp thị qua điện thoại,informational-general,TOFU,SUPPORTING,COLLISION,P1
