priority,page,route,section,currentVisual,requiredVisual,imageType,source,status,owner,dueDate,approval,replacementRule
P0,Trang chủ,/,01 Hero,"React mockup (DashboardMain + floating cards) — synthetic UI, demo numbers","Real webphone capture, masked; keeps the one-screen composition",Product screenshot,Gcalls_Webphone_UI_Assets_P0 / gcalls-plus-contact-profile-with-keypad.png,READY_FOR_INTEGRATION,Web,2026-08-21,APPROVED_AFTER_MASKING,"Swap at src/components/product-ui/index.ts. Home is out of scope for this checkpoint; do not edit home components until Home checkpoint reopens."
P0,Trang chủ,/,Hệ sinh thái sản phẩm,"React mockups per product","One real capture per product that actually exists; a product with no capture keeps its diagram and is not faked",Product screenshot,"Gcalls Plus: available. CX / QA-QC / Voicebot: NOT DELIVERED",BLOCKED,Asher,2026-08-25,PENDING,"No substitute product UI. A missing product keeps a non-screenshot visual rather than borrowing another product's screen."
P0,Gcalls Plus Webphone,/gcalls-plus-webphone/,01 Hero — main,React CRMMockup,Webphone: contact profile + activity + keypad on one screen,Product screenshot,gcalls-plus-contact-profile-with-keypad.png,INTEGRATED,Web,2026-08-18,APPROVED_AFTER_MASKING,"LCP image: eager + fetchpriority=high, never lazy. Re-run scripts/mask-product-images.mjs on any new capture."
P0,Gcalls Plus Webphone,/gcalls-plus-webphone/,01 Hero — support,React SoftphoneMockup,Active call as it renders on a phone,Product screenshot,gcalls-plus-active-call-mobile.png,INTEGRATED,Web,2026-08-18,APPROVED_AFTER_MASKING,Portrait capture only. Never a shrunk desktop screenshot in the supporting slot.
P0,Gcalls Plus Webphone,/gcalls-plus-webphone/,06 Lịch sử tương tác,React CallTimelineMockup,Call history table with status/direction/duration columns,Product screenshot,gcalls-plus-call-history-table.png,INTEGRATED,Web,2026-08-18,APPROVED_AFTER_MASKING,Below the fold — lazy-loads. Keep intrinsic width; do not upscale.
P0,Gcalls Plus Webphone,/gcalls-plus-webphone/,07 Ngữ cảnh khách hàng — main,React CRMMockup,Contact profile beside the interaction feed,Product screenshot,gcalls-plus-contact-profile.png,INTEGRATED,Web,2026-08-18,APPROVED_AFTER_MASKING,Lazy. Masked placeholder names must stay obviously synthetic.
P0,Gcalls Plus Webphone,/gcalls-plus-webphone/,07 Ngữ cảnh khách hàng — support,React DialpadMockup,Dialpad on a phone,Product screenshot,gcalls-plus-keypad-mobile.png,INTEGRATED,Web,2026-08-18,APPROVED_AS_IS,Only unmasked file on the site — it renders no data at all. Re-verify if the capture is ever replaced.
P0,Gcalls Plus Webphone,/gcalls-plus-webphone/,10 Tích hợp hệ thống,React APIManagerMockup + WidgetMockup,CRM connector menu as it renders on a contact,Product screenshot,gcalls-plus-integrations-menu.png,INTEGRATED,Web,2026-08-18,APPROVED_AFTER_MASKING,"Connector names stay because they are part of the product menu. Do not add third-party UI or claim connector behaviour."
P0,Gcalls Plus Webphone,/gcalls-plus-webphone/,09 Hiệu suất,React AnalyticsDashboardMockup,Analytics dashboard,Product screenshot,gcalls-plus-analytics-dashboard.png,NEEDS_APPROVAL,Asher,2026-08-25,BLOCKED,"Carries real operating figures (73 calls, 26.03% connect rate). Masking names does not remove the claim. Either approve the figures for publication or supply a capture from a seeded demo tenant."
P0,Gcalls CX,/gcalls-cx/,Product visual,React mockup,Multichannel conversation queue with channel labels,Product screenshot,NOT DELIVERED,PRODUCT_SCREENSHOT_REQUIRED,Asher,2026-08-25,PENDING,No Gcalls CX capture exists. Do not reuse a Gcalls Plus screen as CX.
