assetId,originalFilename,checksum,product,feature,sourcePath,width,height,format,duplicateGroup,containsPII,containsRealCustomerData,containsUnverifiedClaim,maskingRequired,cropRequired,desktopOrMobile,targetPage,targetSection,altText,approvalStatus,finalFilename,finalPath
GP-01,gcalls-plus-active-call-mobile.png,ae64148915136c073ba7869f92daaf94a51427d34c3d19c0633dbac3b3ddfcd2,Gcalls Plus,"Active Call (webphone, mobile)",/Users/macos/Desktop/Gcalls/Gcalls_Webphone_UI_Assets_P0/gcalls-plus-active-call-mobile.png,553,1084,png,UNIQUE — no other source file shares this checksum,"YES — contact display name, contact phone number",YES,NO,YES,NO,mobile,/gcalls-plus-webphone/,01 Hero — supporting visual,"Màn hình cuộc gọi đang diễn ra trên điện thoại với các nút tắt tiếng, bàn phím, chuyển tiếp và ghi chú; tên và số điện thoại đã được che",APPROVED_AFTER_MASKING,gcalls-plus-webphone-active-call-mobile-v1.webp,public/images/products/gcalls-plus/gcalls-plus-webphone-active-call-mobile-v1.webp
GP-02,gcalls-plus-activity-type-dropdown.png,02550a1d0741f6e76077835db4311a09a78cdd6e429f4d34e2a542f545ad598d,Gcalls Plus,Activity-type selector,/Users/macos/Desktop/Gcalls/Gcalls_Webphone_UI_Assets_P0/gcalls-plus-activity-type-dropdown.png,808,240,png,UNIQUE — no other source file shares this checksum,YES — tenant name in the page title only,NO,NO,YES,NO,desktop,/gcalls-plus-webphone/,P2 — reserve for Lịch sử tương tác,"Bộ chọn loại hoạt động trong Gcalls Plus với các mục cuộc gọi, ghi chú, nhắc nhở và tin nhắn",APPROVED_AFTER_MASKING,gcalls-plus-activity-type-dropdown-desktop-v1.webp,public/images/products/gcalls-plus/gcalls-plus-activity-type-dropdown-desktop-v1.webp
GP-03,gcalls-plus-advanced-filter-modal.png,814090dbd5115c844dce00d5228b6243f846367ac80d309f7d6e9aad73405b6a,Gcalls Plus,Advanced filter dialog,/Users/macos/Desktop/Gcalls/Gcalls_Webphone_UI_Assets_P0/gcalls-plus-advanced-filter-modal.png,821,704,png,UNIQUE — no other source file shares this checksum,"YES — agent account in two timeline entries, tenant name in the page title",NO,NO,YES,NO,desktop,/gcalls-plus-webphone/,P2 — reserve for Lịch sử tương tác,"Hộp thoại lọc nâng cao trong Gcalls Plus với bộ lọc theo khoảng thời gian, team, vai trò và đánh giá cuộc gọi; dữ liệu nhân viên đã được che",APPROVED_AFTER_MASKING,gcalls-plus-advanced-filter-desktop-v1.webp,public/images/products/gcalls-plus/gcalls-plus-advanced-filter-desktop-v1.webp
GP-04,gcalls-plus-agent-performance.png,7661bbe7862b347078177277073746acdc5beaecd3143555a37fafde44845e9a,Gcalls Plus,Agent performance table,/Users/macos/Desktop/Gcalls/Gcalls_Webphone_UI_Assets_P0/gcalls-plus-agent-performance.png,809,470,png,UNIQUE — no other source file shares this checksum,"YES — full employee roster with accounts, extension numbers and last-login timestamps",NO — employee data,"YES — real per-agent productivity: call counts, connect rates, talk time, period-over-period deltas",NOT SUFFICIENT — the table is the figures; masking names leaves the performance claim intact,NO,desktop,—,—,—,NEEDS_APPROVAL,NOT PRODUCED,NOT PRODUCED
GP-05,gcalls-plus-agent-status-log.png,24e1dafa54e94ae7da4ee82a2bd4217800a6547e61b1c294d97b6d3257b703c8,Gcalls Plus,Agent presence timeline,/Users/macos/Desktop/Gcalls/Gcalls_Webphone_UI_Assets_P0/gcalls-plus-agent-status-log.png,809,295,png,UNIQUE — no other source file shares this checksum,"YES — two real employee accounts, signed-in account name","NO — employee data, not customer data",NO,YES,NO,desktop,/gcalls-plus-webphone/,P2 — reserve for Vận hành / Workflow,"Log trạng thái nhân viên trong Gcalls Plus theo trục thời gian trong ngày với các trạng thái online, nghỉ trưa, im lặng và offline; tên nhân viên đã được che",APPROVED_AFTER_MASKING,gcalls-plus-agent-status-log-desktop-v1.webp,public/images/products/gcalls-plus/gcalls-plus-agent-status-log-desktop-v1.webp
GP-06,gcalls-plus-analytics-dashboard.png,dc82d167644b154b0c43bc6ee4227020b59473cc731c7a715537580e713d4d3b,Gcalls Plus,Analytics dashboard,/Users/macos/Desktop/Gcalls/Gcalls_Webphone_UI_Assets_P0/gcalls-plus-analytics-dashboard.png,809,452,png,UNIQUE — no other source file shares this checksum,"YES — signed-in account name, agent accounts in the top-performer cards",NO — but see claim column,"YES — real operating figures: 73 calls, 26.03% connect rate, 2m25s average duration, 0.00% missed, per-agent totals","NOT SUFFICIENT — masking the names leaves the figures, and the figures are the unapproved claim",MAYBE — a crop to the chart shell with no values could be approved separately,desktop,—,—,—,NEEDS_APPROVAL,NOT PRODUCED,NOT PRODUCED
GP-07,gcalls-plus-call-history-table.png,b91e9fa0df81c835a3e0d84d62e734a722f2c40fa2c881eba3733ecf4ec777bc,Gcalls Plus,Call history table,/Users/macos/Desktop/Gcalls/Gcalls_Webphone_UI_Assets_P0/gcalls-plus-call-history-table.png,808,983,png,UNIQUE — no other source file shares this checksum,"YES — 19 rows of real customer names and mobile numbers, agent accounts, tenant name in the page title",YES,NO,YES,NO,desktop,/gcalls-plus-webphone/,06 Lịch sử tương tác — main visual,"Bảng lịch sử cuộc gọi trong Gcalls Plus với cột nhân viên, danh bạ, số điện thoại, loại cuộc gọi, trạng thái kết nối, thời điểm và thời lượng; dữ liệu khách hàng đã được che",APPROVED_AFTER_MASKING,gcalls-plus-call-history-desktop-v1.webp,public/images/products/gcalls-plus/gcalls-plus-call-history-desktop-v1.webp
GP-08,gcalls-plus-click-to-call-config.png,9406d5b479a1bf38b7c68271ee1c4f18b32b5ca188b866c4b00dea996faca58d,Gcalls Plus,Click-to-call button configuration,/Users/macos/Desktop/Gcalls/Gcalls_Webphone_UI_Assets_P0/gcalls-plus-click-to-call-config.png,809,352,png,UNIQUE — no other source file shares this checksum,"YES — configuration IDs, customer company names, one receiving phone number, extension numbers, account name",YES,NO,YES,NO,desktop,/gcalls-plus-webphone/,P2 — reserve for Tích hợp hệ thống,"Bảng cấu hình nút gọi click-to-call trong Gcalls Plus với tiêu đề, nội dung, vị trí hiển thị và số nhận cuộc gọi; dữ liệu định danh đã được che",APPROVED_AFTER_MASKING,gcalls-plus-click-to-call-config-desktop-v1.webp,public/images/products/gcalls-plus/gcalls-plus-click-to-call-config-desktop-v1.webp
GP-09,gcalls-plus-contact-profile-with-keypad.png,589a1c5f129b51b840666b1d4713d32693319f3ae6a04d7502fe9deca608edd2,Gcalls Plus,Webphone — contact profile + activity + keypad,/Users/macos/Desktop/Gcalls/Gcalls_Webphone_UI_Assets_P0/gcalls-plus-contact-profile-with-keypad.png,809,429,png,UNIQUE — no other source file shares this checksum,"YES — contact full name, e-mail, phone; 16-row contact list with names and numbers; recent-call log with numbers and agent accounts; agent account in activity feed; tenant hotline; tenant/group names",YES,NO,YES,NO,desktop,/gcalls-plus-webphone/,01 Hero — main visual (LCP),"Giao diện webphone Gcalls Plus trên trình duyệt: danh sách liên hệ, hồ sơ khách hàng, ô ghi chú và bàn phím gọi trên cùng một màn hình; dữ liệu khách hàng đã được che",APPROVED_AFTER_MASKING,gcalls-plus-webphone-desktop-v1.webp,public/images/products/gcalls-plus/gcalls-plus-webphone-desktop-v1.webp
GP-10,gcalls-plus-contact-profile.png,dae570fb0f553c8ec2fbc65c2c4ac489926d97ecc071d637febe287cfd1fc4bb,Gcalls Plus,Contact profile + interaction feed,/Users/macos/Desktop/Gcalls/Gcalls_Webphone_UI_Assets_P0/gcalls-plus-contact-profile.png,809,440,png,UNIQUE — no other source file shares this checksum,"YES — same surfaces as the keypad variant, without the dialpad overlay",YES,NO,YES,NO,desktop,/gcalls-plus-webphone/,07 Ngữ cảnh khách hàng — main visual,"Hồ sơ khách hàng trong Gcalls Plus với thông tin liên hệ, ô ghi chú và lịch sử tương tác hiển thị cạnh nhau; dữ liệu khách hàng đã được che",APPROVED_AFTER_MASKING,gcalls-plus-contact-profile-desktop-v1.webp,public/images/products/gcalls-plus/gcalls-plus-contact-profile-desktop-v1.webp
GP-11,gcalls-plus-integration-config.png,6c10a2437ccc0c28dc4aa8d307e03dbd2f363f4cc0bd6bb50ac4d4e0602d0a93,Gcalls Plus,Integration host/field configuration,/Users/macos/Desktop/Gcalls/Gcalls_Webphone_UI_Assets_P0/gcalls-plus-integration-config.png,809,446,png,UNIQUE — no other source file shares this checksum,YES — signed-in account name only; table is empty,NO,NO,YES,NO,desktop,/gcalls-plus-webphone/,P2 — reserve for Tích hợp hệ thống,"Màn hình cấu hình tích hợp trong Gcalls Plus với danh sách host, mô tả và trường dữ liệu được ánh xạ",APPROVED_AFTER_MASKING,gcalls-plus-integration-config-desktop-v1.webp,public/images/products/gcalls-plus/gcalls-plus-integration-config-desktop-v1.webp
