Post ID,Title,Status,Language,Words,H1,H2,H3,Duplicate Of,Thin,Outdated,Internal Links,External Links,Outbound Domains,Scripts,Iframes,Shortcodes,Elementor,Claims Detected,Pricing Claim,247/SLA Claim,Customer Named,Featured Image,CTA Present,SEO Title Set,Meta Desc Set,Canonical Set,Published,Modified,Non-Editorial
314,3 cách để doanh nghiệp tồn tại và vươn lên thời Covid,publish,vi,1187,0,3,0,,,YES,2,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-05-19,2022-07-11,
410,Nâng tầm giá trị thương hiệu của doanh nghiệp bạn với Voice Brandname,publish,vi,1134,0,3,7,,,YES,1,2,blogger.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-04-26,2022-07-11,
439,Góc nhìn của doanh nghiệp và khách hàng về tổng đài CSKH và bán hàng,publish,vi,530,0,0,0,,YES,YES,1,0,,0,0,,YES,customer_named,,,YES,YES,YES,YES,YES,NO,2021-04-13,2022-07-11,
553,"Gcalls và bạn - đối tác giới thiệu khách hàng - Cùng hợp tác, cùng có lợi",publish,vi,1527,0,2,3,,,YES,1,3,blogger.com,0,0,,YES,countries_70|always_247|customer_named,,YES,YES,YES,YES,YES,YES,NO,2021-03-09,2022-07-11,
566,Dịch Vụ Call Center là gì? Dịch vụ Tổng đài Call Center,publish,vi,4020,0,7,22,,,YES,1,0,,0,0,caption,YES,countries_70,,,,YES,YES,YES,YES,NO,2021-02-24,2022-12-08,
588,"Tổng Đài Call Center Và Những Kiến Thức ""Cứu Sống"" Doanh Nghiệp",publish,vi,6968,0,15,37,,,YES,3,1,baocaotaichinh.vn,0,0,caption,YES,always_247,,YES,,YES,YES,YES,YES,NO,2021-07-07,2022-12-08,
603,10 Thống kê về hệ thống VoIP chứng minh tầm quan trọng của công nghệ,publish,vi,1860,0,3,10,,,YES,1,0,,0,0,,YES,pricing,YES,,,YES,YES,YES,YES,NO,2021-01-22,2022-07-11,
615,10 mẹo hay nhất để Telesales thành công,publish,vi,1464,0,10,0,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-01-13,2022-07-11,
647,7 Lý Do Nên Chọn Tổng Đài Ảo Call Center Cho Doanh Nghiệp,publish,vi,7367,0,15,37,,,YES,2,1,en.wikipedia.org,0,0,caption,YES,always_247|never_miss|unlimited|customer_named,,YES,YES,YES,YES,YES,YES,NO,2020-12-09,2023-09-04,
654,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần cuối),publish,vi,1722,0,2,7,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2020-11-18,2022-07-11,
669,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần 1),publish,vi,1326,0,4,0,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2020-11-12,2022-07-11,
676,Làm thế nào để mở rộng một nhóm bán hàng toàn cầu?,publish,vi,972,0,5,0,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2020-11-10,2022-07-11,
684,Goals (Mục đích) vs Objectives (Mục tiêu): phân biệt đơn giản,publish,vi,1376,0,1,0,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2020-11-10,2022-07-11,
694,"Tại sao không ""tùy ý"" đưa ý kiến trong content marketing",publish,vi,1320,0,5,0,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2020-11-10,2022-07-11,
826,Cách mạng Công nghiệp 4.0 và lợi ích đối với doanh nghiệp,publish,vi,1626,0,3,8,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-07-15,2022-07-11,
861,11 chỉ số đánh giá quan trọng đối với bộ phận Chăm Sóc Khách Hàng,publish,vi,2866,0,10,0,,,YES,1,0,,0,0,,YES,sla_uptime,,YES,,YES,YES,YES,YES,NO,2021-07-17,2022-07-11,
872,Công nghệ đang thay đổi cách mọi người làm việc từ xa như thế nào?,publish,vi,2015,0,4,0,,,YES,1,0,,0,0,,YES,customer_named,,,YES,YES,YES,YES,YES,NO,2021-07-23,2022-07-11,
884,Tiếp thị qua điện thoại: 13 mẹo chinh phục khách hàng,publish,vi,1911,0,13,0,,,YES,2,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-07-27,2022-07-11,
897,10 công nghệ mà bạn phải có để có thể xây dựng Team làm việc từ xa hiệu quả,publish,vi,1213,0,3,3,,,YES,3,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-07-31,2022-07-11,
1071,Cách tạo hồ sơ khách hàng lý tưởng cho nhóm khách hàng tiềm năng B2B,publish,vi,2383,0,2,7,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-08-02,2022-07-11,
1082,TOP 10 phần mềm theo dõi bán hàng hàng đầu dành cho doanh nghiệp,publish,vi,2965,0,3,15,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-08-03,2022-07-13,
1102,5 chỉ số đo lường hiệu suất bán hàng quan trọng mà quản lý nên theo dõi,publish,vi,2094,0,3,5,,,YES,1,0,,0,0,,YES,customer_named,,,YES,YES,YES,YES,YES,NO,2021-08-04,2022-07-11,
1113,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần 1),publish,vi,2421,0,2,4,,,YES,1,3,linkedin.com|saleshacker.com,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-08-05,2022-07-11,
1134,9 mẹo Cold Calling dành cho nhân viên bán hàng (Phần cuối),publish,vi,2903,0,6,8,,,YES,1,0,,0,0,,YES,,,,,YES,YES,YES,YES,NO,2021-08-11,2022-07-11,
1157,Phần Mềm Contact Center - Giải Pháp Tổng Đài Chuyên Nghiệp 2023,publish,vi,5614,0,17,26,,,YES,1,1,congtytrananh.vn,0,0,caption,YES,always_247|sla_uptime|pricing,YES,YES,,YES,YES,YES,YES,NO,2021-10-12,2023-05-10,
1187,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 1),publish,vi,2867,0,4,3,,,YES,1,0,,0,0,,YES,unlimited,,,,YES,YES,YES,YES,NO,2021-10-13,2022-07-10,
1198,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 2),publish,vi,4370,0,4,6,,,YES,2,0,,0,0,,YES,unlimited,,,,YES,YES,YES,YES,NO,2021-10-14,2022-07-10,
