Hub,Title,Primary Keyword,Search Intent,Persona,Funnel Stage,Pillar/Supporting,Target Product,Internal-Link Targets,Claim Verification Requirement,Image Brief,Status
HUB-02,Checklist đánh giá mức độ sẵn sàng tích hợp tổng đài với CRM,tích hợp tổng đài crm,commercial-investigation,Trưởng phòng Sales / IT,MOFU,PILLAR,Tổng đài tích hợp CRM,HUB-02 posts + /tong-dai-tich-hop-crm/,Phạm vi tích hợp phụ thuộc API từng nền tảng — cần Product xác nhận,"Sơ đồ luồng dữ liệu cuộc gọi ↔ CRM, 1600×900, dạng SVG trung tính",PROPOSED_NOT_WRITTEN
HUB-02,Dữ liệu nào thực sự đồng bộ giữa tổng đài và Helpdesk,đồng bộ tổng đài helpdesk,informational-definition,Quản lý CSKH,MOFU,SUPPORTING,Tổng đài tích hợp Helpdesk,/tong-dai-tich-hop-helpdesk/,Không tuyên bố đồng bộ hai chiều nếu chưa xác minh,"Bảng so sánh trường dữ liệu, SVG",PROPOSED_NOT_WRITTEN
HUB-02,Cần chuẩn bị gì trước khi kết nối tổng đài với hệ thống đang dùng,chuẩn bị tích hợp tổng đài,informational-howto,IT / vận hành,MOFU,SUPPORTING,Tổng đài tích hợp CRM,/tich-hop/,Không cam kết thời gian triển khai,Checklist dạng bảng,PROPOSED_NOT_WRITTEN
HUB-05,Xây dựng bộ tiêu chí đánh giá chất lượng cuộc gọi từ đầu,tiêu chí đánh giá cuộc gọi,informational-howto,QA lead,MOFU,PILLAR,QA/QC Center,/qc-bot-ai/,Không nêu tỷ lệ chấm điểm 100%,"Mẫu phiếu chấm điểm, bảng",PROPOSED_NOT_WRITTEN
HUB-05,Chấm điểm thủ công và hỗ trợ bằng AI khác nhau ở đâu,chấm điểm cuộc gọi ai,commercial-investigation,QA lead / quản lý,MOFU,SUPPORTING,QA/QC Center,/qc-bot-ai/,"AI hỗ trợ, không thay thế người kiểm chứng",Bảng so sánh quy trình,PROPOSED_NOT_WRITTEN
HUB-05,Đọc báo cáo chất lượng hội thoại để ra quyết định vận hành,báo cáo chất lượng cuộc gọi,informational-howto,Quản lý,MOFU,SUPPORTING,QA/QC Center,/qc-bot-ai/,Số liệu mẫu phải ghi rõ là minh họa,Ảnh dashboard minh họa có nhãn,PROPOSED_NOT_WRITTEN
HUB-06,Loại cuộc gọi nào phù hợp đưa vào kịch bản Voicebot,voicebot tổng đài,commercial-investigation,Trưởng phòng vận hành,TOFU,PILLAR,Giải pháp tích hợp Voicebot AI,/voicebot-ai/,"Gcalls tư vấn/kết nối/tích hợp, không sở hữu engine; không claim 24/7","Sơ đồ cây kịch bản, SVG",PROPOSED_NOT_WRITTEN
HUB-06,"Voicebot, IVR và tổng đài tự động khác nhau thế nào",voicebot là gì,informational-definition,Người mới tìm hiểu,TOFU,SUPPORTING,Giải pháp tích hợp Voicebot AI,/voicebot-ai/,Không nêu AI thay thế nhân sự,Bảng so sánh ba khái niệm,PROPOSED_NOT_WRITTEN
HUB-06,Chuẩn bị dữ liệu và kịch bản trước khi triển khai Voicebot,triển khai voicebot,informational-howto,Vận hành,MOFU,SUPPORTING,Giải pháp tích hợp Voicebot AI,/voicebot-ai/ + /qc-bot-ai/,Không cam kết tỷ lệ thành công,Checklist chuẩn bị,PROPOSED_NOT_WRITTEN
HUB-07,Doanh nghiệp cần gì khi gọi ra thị trường nước ngoài,tổng đài quốc tế,informational-definition,Sales quốc tế,TOFU,PILLAR,Tổng đài quốc tế,/tong-dai-quoc-te/,Không nêu số quốc gia khi chưa xác minh,"Bản đồ trung tính, không số liệu",PROPOSED_NOT_WRITTEN
HUB-07,Hồ sơ thường được yêu cầu khi đăng ký đầu số quốc tế,đăng ký đầu số quốc tế,informational-howto,Pháp chế / vận hành,MOFU,SUPPORTING,Tổng đài quốc tế,/tong-dai-quoc-te/,Yêu cầu hồ sơ theo quy định sở tại — nêu rõ phụ thuộc quốc gia,Bảng hồ sơ theo nhóm thị trường,PROPOSED_NOT_WRITTEN
HUB-07,Tổ chức đội hỗ trợ khách hàng lệch múi giờ,hỗ trợ khách hàng đa múi giờ,informational-howto,Quản lý CSKH,MOFU,SUPPORTING,Tổng đài quốc tế,/tong-dai-quoc-te/ + /gcalls-cx/,Không claim hoạt động 24/7,Sơ đồ ca trực theo múi giờ,PROPOSED_NOT_WRITTEN
