Post ID,Slug,Status,Claim Pattern,Detected In,Evidence Status,Required Action,Priority
439,goc-nhin-cua-doanh-nghiep-va-khach-hang-ve-tong-dai-cskh-va-,publish,customer_named,article body,VERIFY_LEGAL,Requires written customer permission before republishing,P1
553,gcalls-va-ban-doi-tac-gioi-thieu-khach-hang,publish,countries_70,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P1
553,gcalls-va-ban-doi-tac-gioi-thieu-khach-hang,publish,always_247,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
553,gcalls-va-ban-doi-tac-gioi-thieu-khach-hang,publish,customer_named,article body,VERIFY_LEGAL,Requires written customer permission before republishing,P1
566,5-linh-vuc-rat-can-dich-vu-call-center-trung-tam-cuoc-goi,publish,countries_70,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P1
588,call-center-la-mot-trai-nghiem-thuong-hieu-trong-nganh-dich-,publish,always_247,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
603,10-thong-ke-ve-he-thong-voip-chung-minh-tam-quan-trong-cua-c,publish,pricing,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
647,4-ly-do-su-dung-tong-dai-ao-call-center-la-can-thiet-voi-mot,publish,always_247,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
647,4-ly-do-su-dung-tong-dai-ao-call-center-la-can-thiet-voi-mot,publish,never_miss,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
647,4-ly-do-su-dung-tong-dai-ao-call-center-la-can-thiet-voi-mot,publish,unlimited,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
647,4-ly-do-su-dung-tong-dai-ao-call-center-la-can-thiet-voi-mot,publish,customer_named,article body,VERIFY_LEGAL,Requires written customer permission before republishing,P1
861,11-chi-so-danh-gia-quan-trong-doi-voi-bo-phan-cham-soc-khach,publish,sla_uptime,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
872,cong-nghe-dang-thay-doi-cach-moi-nguoi-lam-viec-tu-xa-nhu-th,publish,customer_named,article body,VERIFY_LEGAL,Requires written customer permission before republishing,P1
1102,5-chi-so-do-luong-hieu-suat-ban-hang-quan-trong-nen-theo-doi,publish,customer_named,article body,VERIFY_LEGAL,Requires written customer permission before republishing,P1
1157,cac-phan-mem-call-center-phu-hop-voi-cac-tong-dai-doanh-nghi,publish,always_247,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
1157,cac-phan-mem-call-center-phu-hop-voi-cac-tong-dai-doanh-nghi,publish,sla_uptime,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
1157,cac-phan-mem-call-center-phu-hop-voi-cac-tong-dai-doanh-nghi,publish,pricing,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
1187,ban-hang-inbound-hay-ban-hang-outbound-phan-1,publish,unlimited,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
1198,ban-hang-inbound-hay-ban-hang-outbound-phan-2,publish,unlimited,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
1231,tuong-lai-cua-tong-dai-doanh-nghiep-10-xu-huong-noi-bat-nhat,publish,always_247,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
1368,phan-mem-goi-tu-dong-va-loi-ich-doi-voi-chien-luoc-ban-hang,publish,customer_named,article body,VERIFY_LEGAL,Requires written customer permission before republishing,P1
1454,huong-dan-nhan-vien-ban-hang-saas-xu-ly-tu-choi-giao-dich-ph,draft,setup_time,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
1705,cach-viet-ban-tu-danh-gia-cong-viec-cua-nhan-vien,publish,perf_30_50,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P1
1968,tong-dai-quoc-te-mo-rong-thi-truong,publish,countries_70,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P1
1968,tong-dai-quoc-te-mo-rong-thi-truong,publish,setup_time,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
2244,lam-gi-de-mo-rong-doi-ngu-ho-tro-khach-hang-ma-khong-hi-sinh,draft,setup_time,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
2400,huong-dan-do-luong-ket-qua-khao-sat-su-hai-long-cua-khach-ha,draft,always_247,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
2437,cong-cu-tao-phieu-yeu-cau-ho-tro-ticket-cho-bo-phan-dich-vu-,private,always_247,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
2437,cong-cu-tao-phieu-yeu-cau-ho-tro-ticket-cho-bo-phan-dich-vu-,private,sla_uptime,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
2437,cong-cu-tao-phieu-yeu-cau-ho-tro-ticket-cho-bo-phan-dich-vu-,private,unlimited,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
2449,,draft,always_247,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
2449,,draft,pricing,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
2462,tai-sao-ty-le-giu-chan-khach-hang-lai-quan-trong-doi-voi-doa,draft,perf_30_50,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P1
2472,,draft,customer_named,article body,VERIFY_LEGAL,Requires written customer permission before republishing,P1
2486,,draft,customer_named,article body,VERIFY_LEGAL,Requires written customer permission before republishing,P1
2495,19-vi-du-ve-khao-sat-su-hai-long-cua-khach-hang-va-cac-khao-,draft,setup_time,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
2621,uu-va-nhuoc-diem-cua-cac-giai-phap-trong-phan-mem-crm-hubspo,draft,setup_time,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
2621,uu-va-nhuoc-diem-cua-cac-giai-phap-trong-phan-mem-crm-hubspo,draft,customer_named,article body,VERIFY_LEGAL,Requires written customer permission before republishing,P1
2641,phan-mem-bitrix24-cac-tinh-nang-noi-bat-va-ly-do-nen-lua-cho,draft,unlimited,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
2752,khach-hang-tu-phuc-vu-va-vi-du-ve-cac-cong-thong-tin-tu-phuc,draft,always_247,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
2752,khach-hang-tu-phuc-vu-va-vi-du-ve-cac-cong-thong-tin-tu-phuc,draft,customer_named,article body,VERIFY_LEGAL,Requires written customer permission before republishing,P1
2784,loi-ich-ma-giai-phap-tich-hop-dien-thoai-may-tinh-dem-den-ch,publish,sla_uptime,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
2811,call-center-diem-khac-biet-giua-on-premises-va-cloud-call-ce,publish,always_247,article body,VERIFY_REQUIRED,"Requires Product evidence, or replace with qualitative wording",P2
