Legacy Post ID,Legacy URL,Legacy Status,Decision,Final URL,URL Action,Redirect,Reason
314,https://gcalls.co/3-cach-de-doanh-nghiep-ton-tai-va-vuon-len-thoi-covid/,publish,RETIRE_410,410,RETIRE,410 Gone,Non-editorial / off-ICP; no same-intent target so no redirect
410,https://gcalls.co/nang-tam-gia-tri-thuong-hieu-cua-doanh-nghiep-ban-voi-voice-brandname/,publish,REBUILD_UPDATE_TOPIC,/nang-tam-gia-tri-thuong-hieu-cua-doanh-nghiep-ban-voi-voice-brandname/,PRESERVE_ROOT_URL,NONE,"URL kept, topic re-scoped"
439,https://gcalls.co/goc-nhin-cua-doanh-nghiep-va-khach-hang-ve-tong-dai-cskh-va-ban-hang/,publish,REBUILD_KEEP_URL,/goc-nhin-cua-doanh-nghiep-va-khach-hang-ve-tong-dai-cskh-va-ban-hang/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
553,https://gcalls.co/gcalls-va-ban-doi-tac-gioi-thieu-khach-hang/,publish,REBUILD_KEEP_URL,/gcalls-va-ban-doi-tac-gioi-thieu-khach-hang/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
566,https://gcalls.co/5-linh-vuc-rat-can-dich-vu-call-center-trung-tam-cuoc-goi/,publish,REBUILD_KEEP_URL,/5-linh-vuc-rat-can-dich-vu-call-center-trung-tam-cuoc-goi/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
588,https://gcalls.co/call-center-la-mot-trai-nghiem-thuong-hieu-trong-nganh-dich-vu-suc-khoe/,publish,REBUILD_KEEP_URL,/call-center-la-mot-trai-nghiem-thuong-hieu-trong-nganh-dich-vu-suc-khoe/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
603,https://gcalls.co/10-thong-ke-ve-he-thong-voip-chung-minh-tam-quan-trong-cua-cong-nghe/,publish,REBUILD_KEEP_URL,/10-thong-ke-ve-he-thong-voip-chung-minh-tam-quan-trong-cua-cong-nghe/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
615,https://gcalls.co/10-meo-hay-nhat-de-telesales-thanh-cong/,publish,REBUILD_KEEP_URL,/10-meo-hay-nhat-de-telesales-thanh-cong/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
647,https://gcalls.co/4-ly-do-su-dung-tong-dai-ao-call-center-la-can-thiet-voi-mot-doanh-nghiep/,publish,REBUILD_KEEP_URL,/4-ly-do-su-dung-tong-dai-ao-call-center-la-can-thiet-voi-mot-doanh-nghiep/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
654,https://gcalls.co/5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-cuoi/,publish,REBUILD_KEEP_URL,/5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-cuoi/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
669,https://gcalls.co/5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-1/,publish,REBUILD_KEEP_URL,/5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-1/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
676,https://gcalls.co/lam-the-nao-de-mo-rong-mot-nhom-ban-hang-toan-cau/,publish,REBUILD_KEEP_URL,/lam-the-nao-de-mo-rong-mot-nhom-ban-hang-toan-cau/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
684,https://gcalls.co/goals-muc-dich-vs-objectives-muc-tieu-phan-biet-don-gian/,publish,REBUILD_UPDATE_TOPIC,/goals-muc-dich-vs-objectives-muc-tieu-phan-biet-don-gian/,PRESERVE_ROOT_URL,NONE,"URL kept, topic re-scoped"
694,https://gcalls.co/tai-sao-khong-tuy-y-dua-y-kien-trong-content-marketing/,publish,REBUILD_UPDATE_TOPIC,/tai-sao-khong-tuy-y-dua-y-kien-trong-content-marketing/,PRESERVE_ROOT_URL,NONE,"URL kept, topic re-scoped"
826,https://gcalls.co/cach-mang-cong-nghiep-4-0-va-loi-ich-doi-voi-doanh-nghiep/,publish,REBUILD_UPDATE_TOPIC,/cach-mang-cong-nghiep-4-0-va-loi-ich-doi-voi-doanh-nghiep/,PRESERVE_ROOT_URL,NONE,"URL kept, topic re-scoped"
861,https://gcalls.co/11-chi-so-danh-gia-quan-trong-doi-voi-bo-phan-cham-soc-khach-hang/,publish,REBUILD_KEEP_URL,/11-chi-so-danh-gia-quan-trong-doi-voi-bo-phan-cham-soc-khach-hang/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
872,https://gcalls.co/cong-nghe-dang-thay-doi-cach-moi-nguoi-lam-viec-tu-xa-nhu-the-nao/,publish,REBUILD_KEEP_URL,/cong-nghe-dang-thay-doi-cach-moi-nguoi-lam-viec-tu-xa-nhu-the-nao/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
884,https://gcalls.co/tiep-thi-qua-dien-thoai-13-meo-chinh-phuc-khach-hang/,publish,REBUILD_UPDATE_TOPIC,/tiep-thi-qua-dien-thoai-13-meo-chinh-phuc-khach-hang/,PRESERVE_ROOT_URL,NONE,"URL kept, topic re-scoped"
897,https://gcalls.co/10-cong-nghe-phai-co-de-co-the-xay-dung-team-lam-viec-tu-xa-hieu-qua/,publish,REBUILD_KEEP_URL,/10-cong-nghe-phai-co-de-co-the-xay-dung-team-lam-viec-tu-xa-hieu-qua/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1071,https://gcalls.co/cach-tao-ho-so-khach-hang-ly-tuong-cho-nhom-khach-hang-tiem-nang-b2b/,publish,REBUILD_KEEP_URL,/cach-tao-ho-so-khach-hang-ly-tuong-cho-nhom-khach-hang-tiem-nang-b2b/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1082,https://gcalls.co/top-10-phan-mem-theo-doi-ban-hang-hang-dau-danh-cho-doanh-nghiep/,publish,REBUILD_KEEP_URL,/top-10-phan-mem-theo-doi-ban-hang-hang-dau-danh-cho-doanh-nghiep/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1102,https://gcalls.co/5-chi-so-do-luong-hieu-suat-ban-hang-quan-trong-nen-theo-doi/,publish,REBUILD_KEEP_URL,/5-chi-so-do-luong-hieu-suat-ban-hang-quan-trong-nen-theo-doi/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1113,https://gcalls.co/9-meo-cold-calling-danh-cho-nhan-vien-ban-hang-phan-1/,publish,REBUILD_KEEP_URL,/9-meo-cold-calling-danh-cho-nhan-vien-ban-hang-phan-1/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1134,https://gcalls.co/9-meo-cold-calling-danh-cho-nhan-vien-ban-hang-phan-cuoi/,publish,REBUILD_KEEP_URL,/9-meo-cold-calling-danh-cho-nhan-vien-ban-hang-phan-cuoi/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1157,https://gcalls.co/cac-phan-mem-call-center-phu-hop-voi-cac-tong-dai-doanh-nghiep-hien-nay/,publish,REBUILD_KEEP_URL,/cac-phan-mem-call-center-phu-hop-voi-cac-tong-dai-doanh-nghiep-hien-nay/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1187,https://gcalls.co/ban-hang-inbound-hay-ban-hang-outbound-phan-1/,publish,REBUILD_KEEP_URL,/ban-hang-inbound-hay-ban-hang-outbound-phan-1/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1198,https://gcalls.co/ban-hang-inbound-hay-ban-hang-outbound-phan-2/,publish,REBUILD_KEEP_URL,/ban-hang-inbound-hay-ban-hang-outbound-phan-2/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1219,https://gcalls.co/ban-hang-inbound-hay-outbound-dau-la-phuong-phap-ban-hang-ma-ban-nen-quan-tam-phan-3/,publish,REBUILD_KEEP_URL,/ban-hang-inbound-hay-outbound-dau-la-phuong-phap-ban-hang-ma-ban-nen-quan-tam-phan-3/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1231,https://gcalls.co/tuong-lai-cua-tong-dai-doanh-nghiep-10-xu-huong-noi-bat-nhat/,publish,REBUILD_KEEP_URL,/tuong-lai-cua-tong-dai-doanh-nghiep-10-xu-huong-noi-bat-nhat/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1296,https://gcalls.co/bi-quyet-telesales-nen-hay-khong-nen-su-dung-kich-ban-cuoc-goi-ban-hang/,publish,REBUILD_KEEP_URL,/bi-quyet-telesales-nen-hay-khong-nen-su-dung-kich-ban-cuoc-goi-ban-hang/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1314,https://gcalls.co/telesales-cach-tap-trung-khi-goi-dien-ban-hang/,publish,REBUILD_KEEP_URL,/telesales-cach-tap-trung-khi-goi-dien-ban-hang/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1324,https://gcalls.co/telesales-thanh-cong-va-cach-danh-gia-cuoc-goi-ban-hang/,publish,REBUILD_KEEP_URL,/telesales-thanh-cong-va-cach-danh-gia-cuoc-goi-ban-hang/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1351,https://gcalls.co/6-cach-nhan-tin-cho-khach-hang-dat-hieu-qua-trong-quy-trinh-ban-hang/,publish,REBUILD_KEEP_URL,/6-cach-nhan-tin-cho-khach-hang-dat-hieu-qua-trong-quy-trinh-ban-hang/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1368,https://gcalls.co/phan-mem-goi-tu-dong-va-loi-ich-doi-voi-chien-luoc-ban-hang/,publish,REBUILD_KEEP_URL,/phan-mem-goi-tu-dong-va-loi-ich-doi-voi-chien-luoc-ban-hang/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1381,https://gcalls.co/6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao/,publish,REBUILD_KEEP_URL,/6-buoc-xay-dung-kich-ban-ban-hang-dinh-cao/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1396,https://gcalls.co/cach-goi-dien-thoai-cho-khach-hang-tiem-nang-da-mo-email/,publish,REBUILD_KEEP_URL,/cach-goi-dien-thoai-cho-khach-hang-tiem-nang-da-mo-email/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1420,https://gcalls.co/cach-giam-ap-luc-khi-lam-telesales/,publish,REBUILD_KEEP_URL,/cach-giam-ap-luc-khi-lam-telesales/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1427,https://gcalls.co/cac-chi-so-danh-gia-pheu-ban-hang-hieu-qua/,publish,REBUILD_KEEP_URL,/cac-chi-so-danh-gia-pheu-ban-hang-hieu-qua/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1440,https://gcalls.co/tiep-thi-qua-dien-thoai-huong-dan-nhanh-cold-calling-chuyen-nghiep/,publish,REBUILD_KEEP_URL,/tiep-thi-qua-dien-thoai-huong-dan-nhanh-cold-calling-chuyen-nghiep/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1454,https://gcalls.co/?p=1454,draft,REBUILD_UPDATE_TOPIC,/huong-dan-nhan-vien-ban-hang-saas-xu-ly-tu-choi-giao-dich-phan-1/,PRESERVE_ROOT_URL,NONE,"URL kept, topic re-scoped"
1496,https://gcalls.co/?p=1496,draft,REBUILD_UPDATE_TOPIC,/huong-dan-nhan-vien-ban-hang-saas-xu-ly-tu-choi-giao-dich-phan-cuoi/,PRESERVE_ROOT_URL,NONE,"URL kept, topic re-scoped"
1529,https://gcalls.co/?p=1529,draft,REBUILD_UPDATE_TOPIC,/tieu-chi-danh-gia-hieu-qua-ban-hang/,PRESERVE_ROOT_URL,NONE,"URL kept, topic re-scoped"
1541,https://gcalls.co/?p=1541,draft,REBUILD_UPDATE_TOPIC,/cac-buoc-to-chuc-mot-cuoc-hop-khach-hang-chuyen-nghiep/,PRESERVE_ROOT_URL,NONE,"URL kept, topic re-scoped"
1560,https://gcalls.co/tiep-thi-qua-dien-thoai-ky-nang-xu-ly-tu-choi/,publish,REBUILD_KEEP_URL,/tiep-thi-qua-dien-thoai-ky-nang-xu-ly-tu-choi/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1591,https://gcalls.co/giong-noi-yeu-to-quyet-dinh-thanh-cong-trong-tiep-thi-qua-dien-thoai/,publish,REBUILD_KEEP_URL,/giong-noi-yeu-to-quyet-dinh-thanh-cong-trong-tiep-thi-qua-dien-thoai/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1617,https://gcalls.co/?p=1617,draft,REBUILD_UPDATE_TOPIC,/ebook-huong-dan-cac-buoc-xu-ly-tinh-huong-khach-hang-phan-nan/,PRESERVE_ROOT_URL,NONE,"URL kept, topic re-scoped"
1705,https://gcalls.co/cach-viet-ban-tu-danh-gia-cong-viec-cua-nhan-vien/,publish,REBUILD_UPDATE_TOPIC,/cach-viet-ban-tu-danh-gia-cong-viec-cua-nhan-vien/,PRESERVE_ROOT_URL,NONE,"URL kept, topic re-scoped"
1805,https://gcalls.co/ban-hang-qua-dien-thoai-3-cau-hoi-ban-nen-tu-hoi-truoc-khi-thuc-hien-cuoc-goi/,publish,REBUILD_KEEP_URL,/ban-hang-qua-dien-thoai-3-cau-hoi-ban-nen-tu-hoi-truoc-khi-thuc-hien-cuoc-goi/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1817,https://gcalls.co/cach-chiem-duoc-long-tin-cua-khach-hang-kin-tieng/,publish,REBUILD_KEEP_URL,/cach-chiem-duoc-long-tin-cua-khach-hang-kin-tieng/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
1828,https://gcalls.co/cai-thien-trai-nghiem-khach-hang-bang-bieu-mau-cham-diem-danh-gia-cuoc-goi/,publish,REBUILD_KEEP_URL,/cai-thien-trai-nghiem-khach-hang-bang-bieu-mau-cham-diem-danh-gia-cuoc-goi/,PRESERVE_ROOT_URL,NONE,Topic still valid; root URL keeps its equity
