Post ID,URL,Title,Status,Author ID,Author name,Created date,Modified date,Categories,Outbound domains,Script/iframe indicators,Suspicious keyword indicators,Recommended containment,Recommended final HTTP status,Evidence retained
18048,https://gcalls.co/hr-parttime-copy/,HR Parttime Copy,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2024-03-03,2024-03-03,Tuyển Dụng,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,none — appears to be a genuine internal post,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone (was 525-word internal duplicate),docs/content-review/blog/ + July 2026 metadata snapshot
18073,https://gcalls.co/%d0%ba%d0%b0%d0%ba%d0%b8%d0%b5-%d1%81%d0%bb%d0%be%d1%82%d1%8b-%d0%b4%d0%b0%d1%8e%d1%82-%d0%b8%d0%b3%d1%80%d0%b0%d1%8e%d1%82-%d1%81%d0%b5%d0%b3%d0%be%d0%b4%d0%bd%d1%8f-%d0%b2-%d0%ba%d0%b0%d0%b7%d0%b8/,Какие Слоты Дают Играют Сегодня В Казин,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2023-01-25,2024-03-07,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18101,https://gcalls.co/%d1%8d%d0%ba%d1%81%d0%bf%d1%80%d0%b5%d1%81%d1%81-%d0%b4%d0%bd%d1%8f-6-%d1%84%d0%b5%d0%b2%d1%80%d0%b0%d0%bb%d1%8f-%d1%81%d1%82%d0%b0%d0%b2%d0%ba%d0%b8-%d0%b8-%d0%bf%d1%80%d0%be%d0%b3%d0%bd%d0%be%d0%b7/,Экспресс Дня 6 Февраля Ставки И Прогнозы На Футбол Кэф Дня: Some 8,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2023-01-02,2024-03-08,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18118,https://gcalls.co/avrupanin-1-numarali-cevrimici-kumar-hedef-2/,Avrupanın 1 Numaralı Çevrimiçi Kumar Hedef,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2022-10-08,2024-03-08,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18122,https://gcalls.co/%d1%81%d1%82%d0%b0%d0%b2%d0%ba%d0%b8-%d0%bd%d0%b0-%d1%84%d1%83%d1%82%d0%b1%d0%be%d0%bb-webmoney-%d0%ba%d0%b0%d1%82%d0%b5%d0%b3%d0%be%d1%80/,Ставки На Футбол Webmoney Категор,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2022-11-07,2024-03-09,mostbet-ru-serg,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18142,https://gcalls.co/pin-up-casino-resmi-web-sitesi-giris-ve-kayi-leading-it-training-as-well-as-placement-company/,Pin Up Casino Resmi Web Sitesi Giriş Ve Kayı Leading It Training As Well As Placement Company,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2022-11-17,2024-03-09,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18144,https://gcalls.co/%d0%be%d0%b7%d0%bd%d0%b0%d0%ba%d0%be%d0%bc%d0%b8%d1%82%d0%b5%d0%bb%d1%8c%d0%bd%d1%8b%d0%b9-%d0%bf%d0%b5%d1%80%d0%b2%d1%8b%d0%b9-%d0%bf%d0%be%d1%81%d1%82-%d1%81%d1%82%d0%b0%d0%b2%d0%ba%d0%b8-%d0%bd/,Ознакомительный Первый Пост Ставки Начинающие В Ставках Блоги,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2023-01-17,2024-03-09,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18146,https://gcalls.co/zaklady-bukmacherskie-w-polsce-19-aktualnych-bonuso/,Zakłady Bukmacherskie W Polsce 19+ Aktualnych Bonusó,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2023-03-09,2024-03-09,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18164,https://gcalls.co/ksw-91-wyniki-walk-na-zywo-kto-wygral-t-libercu-17-02-2024/,Ksw 91 Wyniki Walk Na Żywo Kto Wygrał T Libercu 17 02 2024,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2022-12-02,2024-03-14,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
18170,https://gcalls.co/przyjmuje-zaklady-sportowe-odpowiedzi-do-krzyzowk-karkoc-gebze-oto-klima-sistemler/,Przyjmuje Zakłady Sportowe Odpowiedzi Do Krzyżówk Karkoç Gebze Oto Klima Sistemler,REMOVED_FROM_WORDPRESS_BY_2026-08-12,NOT_IN_EXPORT,NOT_IN_EXPORT,2022-11-20,2024-03-16,Kiến thức,NOT_CAPTURED_body_absent_from_July_metadata_snapshot,NOT_CAPTURED_body_absent,gambling/casino/betting terms,"Already removed. Verify no residual DB rows, users or scheduled tasks remain.",410 Gone,docs/content-review/blog/ + July 2026 metadata snapshot
