Batch,Batch Name,Post ID,Title,Status,Hub,Words,Quality,Primary Action,Priority,Claims
Batch 0,Spam / security containment,—,(no posts in this batch),—,—,—,—,—,—,—
Batch 1,STRONG posts — normalise & keep,647,7 Lý Do Nên Chọn Tổng Đài Ảo Call Center Cho Doanh Nghiệp,publish,HUB-01,7367,STRONG,VERIFY_LEGAL,P1,always_247|never_miss|unlimited|customer_named
Batch 1,STRONG posts — normalise & keep,588,"Tổng Đài Call Center Và Những Kiến Thức ""Cứu Sống"" Doanh Nghiệp",publish,HUB-01,6968,STRONG,VERIFY_PRODUCT,P2,always_247
Batch 1,STRONG posts — normalise & keep,1157,Phần Mềm Contact Center - Giải Pháp Tổng Đài Chuyên Nghiệp 2023,publish,HUB-01,5614,STRONG,VERIFY_PRODUCT,P2,always_247|sla_uptime|pricing
Batch 1,STRONG posts — normalise & keep,1705,Cách viết bản tự đánh giá công việc của nhân viên đầy đủ và ấn tượng,publish,HUB-08,4871,STRONG,VERIFY_PRODUCT,P1,perf_30_50
Batch 1,STRONG posts — normalise & keep,1198,Bán hàng Inbound hay Outbound - Đâu là phương pháp mà bạn nên quan tâm? (Phần 2),publish,HUB-03,4370,STRONG,VERIFY_PRODUCT,P2,unlimited
Batch 1,STRONG posts — normalise & keep,566,Dịch Vụ Call Center là gì? Dịch vụ Tổng đài Call Center,publish,HUB-01,4020,STRONG,VERIFY_PRODUCT,P1,countries_70
Batch 1,STRONG posts — normalise & keep,1381,6 bước xây dựng kịch bản bán hàng đỉnh cao,publish,HUB-03,3469,STRONG,NORMALIZE,P2,
Batch 1,STRONG posts — normalise & keep,1967,Chiến lược mở rộng ra thị trường nước quốc tế,publish,HUB-01,3234,STRONG,NORMALIZE,P2,
Batch 1,STRONG posts — normalise & keep,1396,Cách gọi điện thoại cho khách hàng tiềm năng đã mở email,publish,HUB-03,3137,STRONG,NORMALIZE,P2,
Batch 1,STRONG posts — normalise & keep,1082,TOP 10 phần mềm theo dõi bán hàng hàng đầu dành cho doanh nghiệp,publish,HUB-03,2965,STRONG,NORMALIZE,P2,
Batch 1,STRONG posts — normalise & keep,2784,18 lợi ích mà giải pháp tích hợp điện thoại máy tính đem đến cho Call Center,publish,HUB-01,2915,STRONG,VERIFY_PRODUCT,P2,sla_uptime
