Source Row,Legacy Post ID,Legacy Title,Legacy Slug,Legacy URL,Legacy Status,Decision,Primary Post ID,New Title,Final Slug,Final URL,HUB,Topic Cluster,Primary Keyword,Secondary Keywords,Search Intent,Target Persona,Funnel Stage,Pillar/Supporting,Target Word Count,Direct Answer Question,Product CTA,Internal Link Targets,Featured Image Brief,In-Article Image Briefs,Claim Verification,Priority,Batch,Draft Status,Editorial Notes
1,314,3 cách để doanh nghiệp tồn tại và vươn lên thời Covid,3-cach-de-doanh-nghiep-ton-tai-va-vuon-len-thoi-covid,https://gcalls.co/3-cach-de-doanh-nghiep-ton-tai-va-vuon-len-thoi-covid/,PUBLISH,RETIRE_410,,,,410,,,,,,,,,,,,,,,N/A,P3,Batch 0,N/A,Non-editorial or off-ICP; no replacement article
2,410,Nâng tầm giá trị thương hiệu của doanh nghiệp bạn với Voice Brandname,nang-tam-gia-tri-thuong-hieu-cua-doanh-nghiep-ban-voi-voice-brandname,https://gcalls.co/nang-tam-gia-tri-thuong-hieu-cua-doanh-nghiep-ban-voi-voice-brandname/,PUBLISH,REBUILD_UPDATE_TOPIC,,Nâng tầm giá trị thương hiệu của doanh nghiệp bạn với Voice Brandname,nang-tam-gia-tri-thuong-hieu-cua-doanh-nghiep-ban-voi-voice-brandname,/nang-tam-gia-tri-thuong-hieu-cua-doanh-nghiep-ban-voi-voice-brandname/,HUB-11 Vận hành doanh nghiệp,Vận hành doanh nghiệp,nâng tầm giá trị thương,TO_BE_SET_AT_AUTHORING,transactional,Chủ doanh nghiệp / Quản lý,TOFU,SUPPORTING,"('NARROW', '900-1200')",Nâng tầm giá trị thương hiệu của doanh nghiệp bạn với Voice Brandname?,Gcalls Plus Webphone|/gcalls-plus-webphone/,2261 | 2665 | 2738,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P2,Batch 10,DRAFT_NOT_WRITTEN,Topic re-scoped to Gcalls ICP; article written 100% new
3,439,Góc nhìn của doanh nghiệp và khách hàng về tổng đài CSKH và bán hàng,goc-nhin-cua-doanh-nghiep-va-khach-hang-ve-tong-dai-cskh-va-ban-hang,https://gcalls.co/goc-nhin-cua-doanh-nghiep-va-khach-hang-ve-tong-dai-cskh-va-ban-hang/,PUBLISH,REBUILD_KEEP_URL,,Góc nhìn của doanh nghiệp và khách hàng về tổng đài CSKH và bán hàng,goc-nhin-cua-doanh-nghiep-va-khach-hang-ve-tong-dai-cskh-va-ban-hang,/goc-nhin-cua-doanh-nghiep-va-khach-hang-ve-tong-dai-cskh-va-ban-hang/,HUB-05 Customer Service và Customer Experience,Customer Service và Customer Experience,góc nhìn khách hàng tổng,TO_BE_SET_AT_AUTHORING,informational-general,Quản lý CSKH,TOFU,SUPPORTING,1200-2000,Góc nhìn của doanh nghiệp và khách hàng về tổng đài CSKH và bán hàng?,Gcalls CX|/gcalls-cx/ ; Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,2400 | 2695 | 2752,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 7,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
4,553,"Gcalls và bạn - đối tác giới thiệu khách hàng - Cùng hợp tác, cùng có lợi",gcalls-va-ban-doi-tac-gioi-thieu-khach-hang,https://gcalls.co/gcalls-va-ban-doi-tac-gioi-thieu-khach-hang/,PUBLISH,REBUILD_KEEP_URL,,"Gcalls và bạn - đối tác giới thiệu khách hàng - Cùng hợp tác, cùng có lợi",gcalls-va-ban-doi-tac-gioi-thieu-khach-hang,/gcalls-va-ban-doi-tac-gioi-thieu-khach-hang/,"HUB-03 CRM, Helpdesk và tích hợp","CRM, Helpdesk và tích hợp",gcalls đối tác giới thiệu,TO_BE_SET_AT_AUTHORING,informational-general,IT / Trưởng dự án tích hợp,MOFU,PILLAR,2000-3000,"Gcalls và bạn - đối tác giới thiệu khách hàng - Cùng hợp tác, cùng có lợi?",Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/ ; Tổng đài tích hợp Helpdesk|/tong-dai-tich-hop-helpdesk/,2864 | 2584 | 2621,"CUSTOM_DIAGRAM_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P0,Batch 1,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
5,566,Dịch Vụ Call Center là gì? Dịch vụ Tổng đài Call Center,5-linh-vuc-rat-can-dich-vu-call-center-trung-tam-cuoc-goi,https://gcalls.co/5-linh-vuc-rat-can-dich-vu-call-center-trung-tam-cuoc-goi/,PUBLISH,REBUILD_KEEP_URL,,Dịch Vụ Call Center là gì? Dịch vụ Tổng đài Call Center,5-linh-vuc-rat-can-dich-vu-call-center-trung-tam-cuoc-goi,/5-linh-vuc-rat-can-dich-vu-call-center-trung-tam-cuoc-goi/,HUB-01 Tổng đài và Call Center,Tổng đài và Call Center,dịch vụ call center dịch,TO_BE_SET_AT_AUTHORING,informational-definition,Trưởng phòng vận hành / Call Center Manager,TOFU,PILLAR,2000-3000,Dịch Vụ Call Center là gì? Dịch vụ Tổng đài Call Center?,Cloud Call Center|/lien-he/ ; Gcalls Plus Webphone|/gcalls-plus-webphone/,10727 | 13378 | 13409,"CUSTOM_DIAGRAM_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 2,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
6,588,"Tổng Đài Call Center Và Những Kiến Thức ""Cứu Sống"" Doanh Nghiệp",call-center-la-mot-trai-nghiem-thuong-hieu-trong-nganh-dich-vu-suc-khoe,https://gcalls.co/call-center-la-mot-trai-nghiem-thuong-hieu-trong-nganh-dich-vu-suc-khoe/,PUBLISH,REBUILD_KEEP_URL,,"Tổng Đài Call Center Và Những Kiến Thức ""Cứu Sống"" Doanh Nghiệp",call-center-la-mot-trai-nghiem-thuong-hieu-trong-nganh-dich-vu-suc-khoe,/call-center-la-mot-trai-nghiem-thuong-hieu-trong-nganh-dich-vu-suc-khoe/,HUB-01 Tổng đài và Call Center,Tổng đài và Call Center,tổng đài call center kiến,TO_BE_SET_AT_AUTHORING,informational-general,Trưởng phòng vận hành / Call Center Manager,TOFU,PILLAR,2000-3000,"Tổng Đài Call Center Và Những Kiến Thức ""Cứu Sống"" Doanh Nghiệp?",Cloud Call Center|/lien-he/ ; Gcalls Plus Webphone|/gcalls-plus-webphone/,10727 | 13378 | 13409,"CUSTOM_DIAGRAM_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 2,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
7,603,10 Thống kê về hệ thống VoIP chứng minh tầm quan trọng của công nghệ,10-thong-ke-ve-he-thong-voip-chung-minh-tam-quan-trong-cua-cong-nghe,https://gcalls.co/10-thong-ke-ve-he-thong-voip-chung-minh-tam-quan-trong-cua-cong-nghe/,PUBLISH,REBUILD_KEEP_URL,,10 Thống kê về hệ thống VoIP chứng minh tầm quan trọng của công nghệ,10-thong-ke-ve-he-thong-voip-chung-minh-tam-quan-trong-cua-cong-nghe,/10-thong-ke-ve-he-thong-voip-chung-minh-tam-quan-trong-cua-cong-nghe/,HUB-01 Tổng đài và Call Center,Tổng đài và Call Center,thống kê hệ thống voip,TO_BE_SET_AT_AUTHORING,informational-general,Trưởng phòng vận hành / Call Center Manager,TOFU,SUPPORTING,1200-2000,10 Thống kê về hệ thống VoIP chứng minh tầm quan trọng của công nghệ?,Cloud Call Center|/lien-he/ ; Gcalls Plus Webphone|/gcalls-plus-webphone/,10727 | 13378 | 13409,"CUSTOM_DIAGRAM_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 2,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
8,615,10 mẹo hay nhất để Telesales thành công,10-meo-hay-nhat-de-telesales-thanh-cong,https://gcalls.co/10-meo-hay-nhat-de-telesales-thanh-cong/,PUBLISH,REBUILD_KEEP_URL,,10 mẹo hay nhất để Telesales thành công,10-meo-hay-nhat-de-telesales-thanh-cong,/10-meo-hay-nhat-de-telesales-thanh-cong/,HUB-04 Telesales và Sales Operations,Telesales và Sales Operations,mẹo hay telesales thành công,TO_BE_SET_AT_AUTHORING,informational-howto,Telesales Leader / Sales Manager,TOFU,SUPPORTING,1200-2000,10 mẹo hay nhất để Telesales thành công?,Gcalls Plus Webphone|/gcalls-plus-webphone/ ; Tổng đài tích hợp CRM|/tong-dai-tich-hop-crm/,1617 | 2684 | 2761,"EDITORIAL_ILLUSTRATION_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 8,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
9,647,7 Lý Do Nên Chọn Tổng Đài Ảo Call Center Cho Doanh Nghiệp,4-ly-do-su-dung-tong-dai-ao-call-center-la-can-thiet-voi-mot-doanh-nghiep,https://gcalls.co/4-ly-do-su-dung-tong-dai-ao-call-center-la-can-thiet-voi-mot-doanh-nghiep/,PUBLISH,REBUILD_KEEP_URL,,7 Lý Do Nên Chọn Tổng Đài Ảo Call Center Cho Doanh Nghiệp,4-ly-do-su-dung-tong-dai-ao-call-center-la-can-thiet-voi-mot-doanh-nghiep,/4-ly-do-su-dung-tong-dai-ao-call-center-la-can-thiet-voi-mot-doanh-nghiep/,HUB-01 Tổng đài và Call Center,Tổng đài và Call Center,lý do chọn tổng đài,TO_BE_SET_AT_AUTHORING,informational-howto,Trưởng phòng vận hành / Call Center Manager,TOFU,PILLAR,2000-3000,7 Lý Do Nên Chọn Tổng Đài Ảo Call Center Cho Doanh Nghiệp?,Cloud Call Center|/lien-he/ ; Gcalls Plus Webphone|/gcalls-plus-webphone/,10727 | 13378 | 13409,"CUSTOM_DIAGRAM_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 2,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
10,654,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần cuối),5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-cuoi,https://gcalls.co/5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-cuoi/,PUBLISH,REBUILD_KEEP_URL,,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần cuối),5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-cuoi,/5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-cuoi/,HUB-01 Tổng đài và Call Center,Tổng đài và Call Center,lợi ích việc sử dụng,TO_BE_SET_AT_AUTHORING,informational-general,Trưởng phòng vận hành / Call Center Manager,TOFU,SUPPORTING,1200-2000,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần cuối)?,Cloud Call Center|/lien-he/ ; Gcalls Plus Webphone|/gcalls-plus-webphone/,10727 | 13378 | 13409,"CUSTOM_DIAGRAM_REQUIRED — 1600x900, new asset, brand #673ab7",1-3 new assets; see editorial-image-map.csv,No blocked claim permitted; figures require Product evidence,P1,Batch 2,DRAFT_NOT_WRITTEN,"Topic on-target; legacy root URL preserved, article written 100% new"
