ID,Post ID,Title,Slug,Route,Status,Category,Content Pillar,Search Intent,Primary Keyword,Secondary Keywords,Target Persona,Current Word Count,Target Word Count,Content Quality,SEO Title,Meta Description,H1 Count,Internal Links In,Internal Links Out,Product CTA,Image Status,Claim Risk,Action,Final Status
BLOG-001,314,3 cách để doanh nghiệp tồn tại và vươn lên thời Covid,3-cach-de-doanh-nghiep-ton-tai-va-vuon-len-thoi-covid,/3-cach-de-doanh-nghiep-ton-tai-va-vuon-len-thoi-covid/,PUBLISH,Quản Lý,HUB-08 Kiến thức vận hành doanh nghiệp,informational-howto,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,1187,900-1200,ADEQUATE_SHORT,3 cách để doanh nghiệp tồn tại và vươn lên thời Covid,Đây là cách các doanh nghiệp thành công đã vượt qua cơn bão Covid đồng thời định hình khả năng phục hồi và lợi nhuận trong tương lai của họ.,0,0,2,Gcalls Plus Webphone,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-002,410,Nâng tầm giá trị thương hiệu của doanh nghiệp bạn với Voice Brandname,nang-tam-gia-tri-thuong-hieu-cua-doanh-nghiep-ban-voi-voice-brandname,/nang-tam-gia-tri-thuong-hieu-cua-doanh-nghiep-ban-voi-voice-brandname/,PUBLISH,Sản phẩm,HUB-08 Kiến thức vận hành doanh nghiệp,transactional,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,1134,900-1200,ADEQUATE_SHORT,Nâng tầm giá trị thương hiệu của doanh nghiệp bạn với Voice Brandname,Dịch vụ Voice Brandname được tung ra sẽ giúp cho các doanh nghiệp dễ dàng tiếp cận với khách hàng của mình hơn trong việc Quảng cáo và CSKH.,0,0,1,Gcalls Plus Webphone,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-003,439,Góc nhìn của doanh nghiệp và khách hàng về tổng đài CSKH và bán hàng,goc-nhin-cua-doanh-nghiep-va-khach-hang-ve-tong-dai-cskh-va-ban-hang,/goc-nhin-cua-doanh-nghiep-va-khach-hang-ve-tong-dai-cskh-va-ban-hang/,PUBLISH,Bán hàng|Chăm sóc khách hàng,HUB-04 Customer Service và Customer Experience,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,530,900-1200,THIN,Góc nhìn của doanh nghiệp và khách hàng về tổng đài CSKH và bán hàng,Nhu cầu cải thiện dịch vụ khách hàng ngày càng cao dẫn đến việc cải thiện hiệu quả trung tâm tổng đài CSKH và bán hàng cũng cấp bách hơn.,0,0,1,Gcalls CX|Tổng đài tích hợp Helpdesk,HAS_FEATURED,customer_named,RETIRE_410,AUDITED_PENDING_BATCH
BLOG-004,553,"Gcalls và bạn - đối tác giới thiệu khách hàng - Cùng hợp tác, cùng có lợi",gcalls-va-ban-doi-tac-gioi-thieu-khach-hang,/gcalls-va-ban-doi-tac-gioi-thieu-khach-hang/,PUBLISH,Chương trình|Nổi bật,HUB-08 Kiến thức vận hành doanh nghiệp,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,1527,1200-2000,ADEQUATE,"Gcalls và bạn - đối tác giới thiệu khách hàng - Cùng hợp tác, cùng có lợi",Bạn đang tìm một công ty cơ hội để hợp tác và tăng thu nhập. Gcalls tin rằng việc chúng ta hợp tác cùng nhau sẽ mang đến rất nhiều giá trị.,0,0,1,Gcalls Plus Webphone,HAS_FEATURED,countries_70|always_247|customer_named,VERIFY_PRODUCT,AUDITED_PENDING_BATCH
BLOG-005,566,Dịch Vụ Call Center là gì? Dịch vụ Tổng đài Call Center,5-linh-vuc-rat-can-dich-vu-call-center-trung-tam-cuoc-goi,/5-linh-vuc-rat-can-dich-vu-call-center-trung-tam-cuoc-goi/,PUBLISH,Chăm sóc khách hàng|Trang Chủ,HUB-01 Tổng đài và Call Center,informational-definition,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,4020,2000-3000,STRONG,5 lĩnh vực rất cần dịch vụ Call Center trung tâm cuộc gọi,Mọi công ty để đạt được danh tiếng hoặc giải quyết thắc mắc của khách hàng đều cần đến các công ty cung cấp phần mềm Call Center.,0,0,1,Cloud Call Center|Gcalls Plus Webphone,HAS_FEATURED,countries_70,VERIFY_PRODUCT,AUDITED_PENDING_BATCH
BLOG-006,588,"Tổng Đài Call Center Và Những Kiến Thức ""Cứu Sống"" Doanh Nghiệp",call-center-la-mot-trai-nghiem-thuong-hieu-trong-nganh-dich-vu-suc-khoe,/call-center-la-mot-trai-nghiem-thuong-hieu-trong-nganh-dich-vu-suc-khoe/,PUBLISH,Bán hàng|Chăm sóc khách hàng|Trang Chủ,HUB-01 Tổng đài và Call Center,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,6968,2000-3000,STRONG,"Tổng Đài Call Center Và Những Kiến Thức ""Cứu Sống"" Doanh Nghiệp",Hệ thống giải pháp tổng đài ảo Call Center là một trong những phần mềm hoạt động hiện đang được rất nhiều doanh nghiệp ưa chuộng sử dụng,0,0,3,Cloud Call Center|Gcalls Plus Webphone,HAS_FEATURED,always_247,VERIFY_PRODUCT,AUDITED_PENDING_BATCH
BLOG-007,603,10 Thống kê về hệ thống VoIP chứng minh tầm quan trọng của công nghệ,10-thong-ke-ve-he-thong-voip-chung-minh-tam-quan-trong-cua-cong-nghe,/10-thong-ke-ve-he-thong-voip-chung-minh-tam-quan-trong-cua-cong-nghe/,PUBLISH,Kỹ thuật,HUB-01 Tổng đài và Call Center,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,1860,1200-2000,ADEQUATE,10 Thống kê về hệ thống VoIP chứng minh tầm quan trọng của công nghệ,Hệ thống VoIP đóng vai trò lớn trong việc hỗ trợ làm việc từ xa và được thể hiện qua các số liệu thống kê dưới đây.,0,0,1,Cloud Call Center|Gcalls Plus Webphone,HAS_FEATURED,pricing,VERIFY_PRODUCT,AUDITED_PENDING_BATCH
BLOG-008,615,10 mẹo hay nhất để Telesales thành công,10-meo-hay-nhat-de-telesales-thanh-cong,/10-meo-hay-nhat-de-telesales-thanh-cong/,PUBLISH,Telesales,HUB-03 Telesales và Sales Operations,informational-howto,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,1464,1200-2000,ADEQUATE,10 mẹo hay nhất để Telesales thành công,"Bất chấp cảm nhận của cá nhân bạn về nghề Telesales, nó vẫn là một trong những cách tốt nhất để tạo ra mối quan tâm mới từ khách hàng.",0,0,1,Gcalls Plus Webphone|Tổng đài tích hợp CRM,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
BLOG-009,647,7 Lý Do Nên Chọn Tổng Đài Ảo Call Center Cho Doanh Nghiệp,4-ly-do-su-dung-tong-dai-ao-call-center-la-can-thiet-voi-mot-doanh-nghiep,/4-ly-do-su-dung-tong-dai-ao-call-center-la-can-thiet-voi-mot-doanh-nghiep/,PUBLISH,Bán hàng|Chăm sóc khách hàng|Telesales|Trang Chủ,HUB-01 Tổng đài và Call Center,informational-howto,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,7367,2000-3000,STRONG,7 lý do nên chọn tổng đài ảo call center cho Doanh nghiệp,"Chính vì vậy, kiến thức xây dựng Tổng đài ảo Call Center 24/7 là điều hết sức quan trọng mà các doanh nghiệp nên chú ý trước khi bắt đầu.",0,0,2,Cloud Call Center|Gcalls Plus Webphone,HAS_FEATURED,always_247|never_miss|unlimited|customer_named,VERIFY_LEGAL,AUDITED_PENDING_BATCH
BLOG-010,654,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần cuối),5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-cuoi,/5-loi-ich-cua-viec-su-dung-bao-cao-tong-dai-call-center-phan-cuoi/,PUBLISH,Chăm sóc khách hàng|Quản Lý|Telesales,HUB-01 Tổng đài và Call Center,informational-general,VERIFY_REQUIRED,VERIFY_REQUIRED,VERIFY_REQUIRED,1722,1200-2000,ADEQUATE,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần cuối),"Có rất nhiều lợi ích khi việc sử dụng Báo cáo tổng đài Call Center. Trong bài viết này, chúng tôi sẽ đề cập 5 lợi ích chính của báo cáo này.",0,0,1,Cloud Call Center|Gcalls Plus Webphone,HAS_FEATURED,NONE,NORMALIZE,AUDITED_PENDING_BATCH
