Legacy Post ID,New Title,HUB,Image Classification,What it must show,Aspect Ratio,Dimensions,Image Source,Data to mask,Planned Alt Text,Used on,Reusable
410,Nâng tầm giá trị thương hiệu của doanh nghiệp bạn với Voice Brandname,HUB-11,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa vận hành doanh nghiệp — Nâng tầm giá trị thương hiệu của doanh nghiệp bạn với Voice ,Featured + 1-3 in-article,NO — article-specific
439,Góc nhìn của doanh nghiệp và khách hàng về tổng đài CSKH và bán hàng,HUB-05,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa customer service và customer experience — Góc nhìn của doanh nghiệp và khách hàng về tổng đài CSKH và ,Featured + 1-3 in-article,NO — article-specific
553,"Gcalls và bạn - đối tác giới thiệu khách hàng - Cùng hợp tác, cùng có lợi",HUB-03,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,"Minh họa crm, helpdesk và tích hợp — Gcalls và bạn - đối tác giới thiệu khách hàng - Cùng hợp tác",Featured + 1-3 in-article,YES within hub
566,Dịch Vụ Call Center là gì? Dịch vụ Tổng đài Call Center,HUB-01,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,Minh họa tổng đài và call center — Dịch Vụ Call Center là gì? Dịch vụ Tổng đài Call Center,Featured + 1-3 in-article,YES within hub
588,"Tổng Đài Call Center Và Những Kiến Thức ""Cứu Sống"" Doanh Nghiệp",HUB-01,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,"Minh họa tổng đài và call center — Tổng Đài Call Center Và Những Kiến Thức ""Cứu Sống"" Doanh Ngh",Featured + 1-3 in-article,YES within hub
603,10 Thống kê về hệ thống VoIP chứng minh tầm quan trọng của công nghệ,HUB-01,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,Minh họa tổng đài và call center — 10 Thống kê về hệ thống VoIP chứng minh tầm quan trọng của c,Featured + 1-3 in-article,YES within hub
615,10 mẹo hay nhất để Telesales thành công,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — 10 mẹo hay nhất để Telesales thành công,Featured + 1-3 in-article,NO — article-specific
647,7 Lý Do Nên Chọn Tổng Đài Ảo Call Center Cho Doanh Nghiệp,HUB-01,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,Minh họa tổng đài và call center — 7 Lý Do Nên Chọn Tổng Đài Ảo Call Center Cho Doanh Nghiệp,Featured + 1-3 in-article,YES within hub
654,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần cuối),HUB-01,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,Minh họa tổng đài và call center — 5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phầ,Featured + 1-3 in-article,YES within hub
669,5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phần 1),HUB-01,CUSTOM_DIAGRAM_REQUIRED,Purpose-drawn diagram of the flow or architecture described in the article,16:9,1600x900,NEW inline SVG / design tool,None — no real data depicted,Minh họa tổng đài và call center — 5 Lợi ích của việc Sử dụng Báo cáo Tổng đài Call Center (Phầ,Featured + 1-3 in-article,YES within hub
676,Làm thế nào để mở rộng một nhóm bán hàng toàn cầu?,HUB-04,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa telesales và sales operations — Làm thế nào để mở rộng một nhóm bán hàng toàn cầu?,Featured + 1-3 in-article,NO — article-specific
684,Goals (Mục đích) vs Objectives (Mục tiêu): phân biệt đơn giản,HUB-11,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa vận hành doanh nghiệp — Goals (Mục đích) vs Objectives (Mục tiêu): phân biệt đơn giả,Featured + 1-3 in-article,NO — article-specific
694,"Tại sao không ""tùy ý"" đưa ý kiến trong content marketing",HUB-11,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,"Minh họa vận hành doanh nghiệp — Tại sao không ""tùy ý"" đưa ý kiến trong content marketing",Featured + 1-3 in-article,NO — article-specific
826,Cách mạng Công nghiệp 4.0 và lợi ích đối với doanh nghiệp,HUB-11,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa vận hành doanh nghiệp — Cách mạng Công nghiệp 4.0 và lợi ích đối với doanh nghiệp,Featured + 1-3 in-article,NO — article-specific
861,11 chỉ số đánh giá quan trọng đối với bộ phận Chăm Sóc Khách Hàng,HUB-05,EDITORIAL_ILLUSTRATION_REQUIRED,Original brand illustration of the operational situation described,16:9,1600x900,NEW original illustration,None — no real data depicted,Minh họa customer service và customer experience — 11 chỉ số đánh giá quan trọng đối với bộ phận Chăm Sóc Khách,Featured + 1-3 in-article,NO — article-specific
