slug,briefId,role,imageType,briefStatus,resolvedStatus,sourceAvailable,dimensions,placement,mustShow,maskingRequirement,altText,note
4-ly-do-su-dung-tong-dai-ao-call-center-la-can-thiet-voi-mot-doanh-nghiep,featured,featured,Sơ đồ mốc quyết định,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Ảnh đại diện, hiển thị đầu bài","Trục thời gian vận hành với sáu dấu hiệu xuất hiện dần, và vùng tô đánh dấu ngưỡng ba dấu hiệu đồng thời. Ba tình huống nên hoãn đặt ở nhánh rẽ bên dưới.",Không có dữ liệu thật.,Sơ đồ mốc quyết định chuyển sang tổng đài ảo dựa trên sáu dấu hiệu vận hành,Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
5-linh-vuc-rat-can-dich-vu-call-center-trung-tam-cuoc-goi,featured,featured,Sơ đồ khái niệm ba lớp,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Ảnh đại diện, hiển thị đầu bài","Ba lớp của một call center xếp chồng: lớp kết nối thoại (đầu số, hàng đợi, định tuyến), lớp dữ liệu tương tác (lịch sử, ghi chú, hồ sơ khách), lớp quan sát (bảng theo dõi của quản lý). Mũi tên chỉ chiều dữ liệu đi lên.",Không có dữ liệu thật; mọi nhãn là nhãn khái niệm.,"Sơ đồ ba lớp của một hệ thống call center: kết nối thoại, dữ liệu tương tác và lớp quan sát của quản lý",Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
5-linh-vuc-rat-can-dich-vu-call-center-trung-tam-cuoc-goi,inline-1,in-article,Sơ đồ luồng,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Sau mục ""Bốn triệu chứng thường gặp""","Luồng một cuộc gọi đến rời rạc so với luồng có hệ thống: nhánh trên kết thúc ở ""không ai ghi nhận"", nhánh dưới kết thúc ở hồ sơ khách hàng.",Không có dữ liệu thật.,"Sơ đồ đối chiếu hai luồng xử lý cuộc gọi đến, một luồng không ghi nhận và một luồng lưu vào hồ sơ khách hàng",Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
cai-thien-trai-nghiem-khach-hang-bang-bieu-mau-cham-diem-danh-gia-cuoc-goi,featured,featured,Minh hoạ biên tập,EDITORIAL_ILLUSTRATION_REQUIRED,EDITORIAL_ILLUSTRATION_REQUIRED,NEW artwork — nothing to source,1600×900,"Ảnh đại diện, hiển thị đầu bài","Vòng phản hồi bốn bước từ biểu mẫu tới buổi trao đổi tới hành vi thay thế tới kiểm tra lại, với nhánh riêng cho trường hợp lỗi lặp lại ở nhiều người dẫn về sửa quy trình.",Không có dữ liệu thật; không thể hiện nhân sự có thể nhận dạng được.,Minh hoạ vòng phản hồi từ biểu mẫu chấm điểm cuộc gọi tới buổi trao đổi và kiểm tra lại ở kỳ sau,"Original brand illustration. No stock photography, no unverified figures baked into the image."
call-center-diem-khac-biet-giua-on-premises-va-cloud-call-center-phan-1,featured,featured,Sơ đồ đối chiếu hai mô hình,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Ảnh đại diện, hiển thị đầu bài","Hai cột song song: bên trái là thiết bị đặt trong doanh nghiệp với các nhãn nguồn điện, đường truyền, sao lưu, đội kỹ thuật; bên phải là dịch vụ trên hạ tầng nhà cung cấp với nhãn truy cập qua mạng, cấu hình trên giao diện quản trị. Ranh giới trách nhiệm được vẽ rõ.",Không có dữ liệu thật; không dùng logo bên thứ ba.,Sơ đồ đối chiếu tổng đài đặt tại chỗ và tổng đài đám mây theo ranh giới trách nhiệm vận hành,Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
call-center-diem-khac-biet-giua-on-premises-va-cloud-call-center-phan-1,inline-1,in-article,Sơ đồ chi phí theo thời gian,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Sau mục ""Chi phí: phần không nằm trên báo giá""","Đường chi phí tích luỹ của hai mô hình theo thời gian, có đánh dấu các khoản không nằm trên báo giá. Trục không gắn con số cụ thể vì chưa có dữ liệu giá được duyệt.",Không hiển thị bất kỳ con số giá nào chưa được duyệt.,"Sơ đồ khái niệm về chi phí tích luỹ của hai mô hình tổng đài theo thời gian, không kèm con số cụ thể",Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
cham-diem-cuoc-goi-thu-cong-va-ho-tro-bang-ai,featured,featured,Ảnh chụp màn hình sản phẩm,PRODUCT_SCREENSHOT_REQUIRED,BLOCKED,NONE,1600×900,"Ảnh đại diện, hiển thị đầu bài",Màn hình kết quả phân tích hội thoại trong QA QC Center với các dấu hiệu được đánh dấu và ô xác nhận của người chấm còn ở trạng thái chưa xác nhận.,"Che nội dung hội thoại, tên khách hàng, tên nhân viên, số điện thoại và tên tenant. Gắn nhãn ""ảnh minh hoạ"".","Ảnh chụp màn hình kết quả phân tích hội thoại kèm bước xác nhận của người chấm, dữ liệu đã được che",Needs QA QC Center conversation analysis. No QA/QC capture delivered. No Gcalls Plus screen may stand in for it.
cham-diem-cuoc-goi-thu-cong-va-ho-tro-bang-ai,inline-1,in-article,Sơ đồ quy trình kết hợp,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Trong mục ""Quy trình kết hợp hai cách""","Năm bước của quy trình kết hợp, với ranh giới rõ giữa phần công cụ sàng lọc và phần người kiểm chứng, và vòng phản hồi từ bước đối chiếu quay lại quy tắc phát hiện.",Không có dữ liệu thật.,Sơ đồ quy trình kết hợp giữa phân tích tự động và chấm điểm thủ công trong hoạt động QA,Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
checklist-danh-gia-san-sang-tich-hop-tong-dai-voi-crm,featured,featured,Sơ đồ năm nhóm kiểm tra,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Ảnh đại diện, hiển thị đầu bài","Năm khối xếp theo trình tự — quyền truy cập, chất lượng dữ liệu, quy tắc nghiệp vụ, phạm vi API, kế hoạch nghiệm thu — với cổng kiểm tra giữa các khối.",Không có dữ liệu thật; không hiển thị logo nền tảng bên thứ ba.,Sơ đồ năm nhóm kiểm tra mức độ sẵn sàng trước khi tích hợp tổng đài với CRM,Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
checklist-danh-gia-san-sang-tich-hop-tong-dai-voi-crm,inline-1,in-article,Sơ đồ cây quyết định,CUSTOM_DIAGRAM_REQUIRED,CUSTOM_DIAGRAM_REQUIRED,NEW artwork — nothing to source,1600×900,"Sau bảng ở mục ""Nhóm 3 — Quy tắc nghiệp vụ""","Cây quyết định cho cuộc gọi đến: số có trong CRM hay không, khớp một hay nhiều hồ sơ, và hành động tương ứng ở mỗi nhánh.",Không có dữ liệu thật.,"Sơ đồ cây quyết định xử lý cuộc gọi đến khi số điện thoại khớp không, một hoặc nhiều hồ sơ CRM",Purpose-drawn SVG. Labels must match the article body; no invented feature flow.
