Batch,Batch Scope,Source,Legacy Post ID,Title,HUB,Decision,Priority,Pillar/Supporting,Target Words,Draft Status
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,17902,"Zoho CRM: Tính năng và ưu, nhược điểm của phần mềm quản lý mối quan hệ khách hàng này",HUB-03,MERGE_INTO_PRIMARY,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,2462,Tại sao tỷ lệ giữ chân khách hàng lại quan trọng đối với doanh nghiệp?,HUB-05,MERGE_INTO_PRIMARY,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,2200,Lead qualification: Cách đánh giá khách hàng tiềm năng hiệu quả,HUB-04,MERGE_INTO_PRIMARY,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,2425,Hướng dẫn tuyển dụng nhân sự cho bộ phận Hỗ trợ khách hàng,HUB-11,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,2715,Hướng dẫn tuyển dụng nhân viên hỗ trợ cho bộ phận dịch vụ khách hàng,HUB-11,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,2904,"Tại sao nói: “Phản hồi của khách hàng của bạn vẫn còn quan trọng đối với doanh nghiệp?""",HUB-05,MERGE_INTO_PRIMARY,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,17846,Hướng dẫn tuyển dụng nhân sự cho bộ phận Hỗ trợ khách hàng của doanh nghiệp,HUB-11,RETIRE_410,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,17832,Làm thế nào để kết nối 2 bộ phận bán hàng và dịch vụ khách hàng trong doanh nghiệp?,HUB-04,MERGE_INTO_PRIMARY,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,17827,Chỉ số CSAT là gì và cách đo lường chỉ số này trong dịch vụ khách hàng?,HUB-05,MERGE_INTO_PRIMARY,P3,,,N/A
Batch 0,"Dedupe, URL decisions, security exclusions, non-editorial filtering",LEGACY_ROW,2167,Mẫu bảng đánh giá nhân viên bán hàng mới nhất,HUB-04,MERGE_INTO_PRIMARY,P3,,,N/A
