sourceId,oldUrl,demoUrl,hub,hubPage,priority,wordCount,existingDecision,result,proposedAction,conflict,evidence,title
10741,https://gcalls.co/8-loi-khuyen-danh-cho-nha-quan-ly-call-center/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1400,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,8 lời khuyên dành cho nhà quản lý Call Center
1231,https://gcalls.co/tuong-lai-cua-tong-dai-doanh-nghiep-10-xu-huong-noi-bat-nhat/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,2827,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Tương lai của tổng đài doanh nghiệp: 10 xu hướng nổi bật nhất
13208,https://gcalls.co/dich-vu-call-center-la-gi-cong-ty-cung-cap-uy-tin-nhat/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1066,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Dịch Vụ Call Center Là Gì? Công Ty Cung Cấp Uy Tín Nhất
13242,https://gcalls.co/tong-dai-ao-mien-phi-la-gi-top-5-tong-dai-ao-mien-phi-crm/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1418,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Tổng Đài Ảo Miễn Phí Là Gì? Top 5+ Tổng Đài Ảo Miễn Phí CRM
13286,https://gcalls.co/tong-dai-ao-la-gi-loi-ich-hang-dau-danh-cho-doanh-nghiep/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1114,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Tổng Đài Ảo Là Gì? Lợi Ích Hàng Đầu Dành Cho Doanh Nghiệp
13388,https://gcalls.co/tong-dai-noi-bo-ao-khac-tong-dai-ao-diem-nao/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1201,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Tổng Đài Nội Bộ Ảo Khác Tổng Đài Ảo Điểm Nào?
13427,https://gcalls.co/giai-phap-tong-dai-ao-khong-day-co-gi-tot/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1355,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Giải Pháp Tổng Đài Ảo Không Dây Có Gì Tốt?
13483,https://gcalls.co/tong-dai-cong-nghe-la-gi-co-nen-dau-tu-vao-tong-dai-ao/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1820,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Tổng Đài Công Nghệ Là Gì? Có Nên Đầu Tư Vào Tổng Đài Ảo?
14462,https://gcalls.co/hotline-la-gi-co-nhung-loai-dau-so-hotline-nao-hien-nay/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1553,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,Hotline Là Gì? Có Những Loại Đầu Số Hotline Nào Hiện Nay?
14502,https://gcalls.co/ivr-la-gi-va-nhung-dieu-can-biet-ve/,,HUB-01,/lien-he/ ; /gcalls-plus-webphone/,P0,1337,REBUILD_KEEP_URL,MISSING,"PREPARE_IMPORT — rebuild body, keep legacy URL",none (URL preserved); verify not already on demo before write,result=MISSING; plannedDecision=REBUILD_KEEP_URL,IVR Là Gì? Và Những Điều Cần Biết Về IVR
